"처리일자","청소년유해업소업종코드","청소년유해업소업종명","건수"
"20210418","10101","한식","2993"
"20210418","10102","중국식","186"
"20210418","10103","경양식","992"
"20210418","10104","일식","276"
"20210418","10105","분식","770"
"20210418","10106","뷔페식","22"
"20210418","10107","정종대포집(선술집)","55"
"20210418","10108","전통찻집","14"
"20210418","10110","출장조리","2"
"20210418","10111","패스트푸드","23"
"20210418","10112","호프(소주방)","240"
"20210418","10113","통닭(치킨)","48"
"20210418","10114","복어취급","1"
"20210418","10115","김밥(도시락)","18"
"20210418","10116","생선회","11"
"20210418","10117","까페","97"
"20210418","10118","식육취급","4"
"20210418","10119","탕류","4"
"20210418","10199","기타","1189"
"20210418","10201","카바레","7"
"20210418","10202","고고(디스코)클럽","5"
"20210418","10206","스텐드바","8"
"20210418","10207","비어(바)살롱","2"
"20210418","10208","룸살롱","153"
"20210418","10209","요정","9"
"20210418","10210","간이주점","6"
"20210418","10299","기타","9"
"20210418","10301","단란주점","116"
"20210418","10401","과자점","10"
"20210418","10402","다방","125"
"20210418","10403","일반조리판매","119"
"20210418","10408","철도역구내","1"
"20210418","10410","편의점","83"
"20210418","10411","패스트푸드","84"
"20210418","10412","커피숍","720"
"20210418","10413","전통찻집","64"
"20210418","10499","기타","443"
"20210418","20101","관광호텔","42"
"20210418","20102","일반호텔","23"
"20210418","20105","여관업","139"
"20210418","20107","여인숙업","18"
"20210418","20199","숙박업 기타","6"
"20210418","20301","일반이용업","89"
"20210418","24113","일반게임제공업","7"
"20210418","24201","비디오물감상실업","22"
"20210418","24205","노래연습장업","96"
"20210418","30111","무도학원업","4"
"20210419","10101","한식","2996"
"20210419","10102","중국식","185"
"20210419","10103","경양식","992"
"20210419","10104","일식","275"
"20210419","10105","분식","770"
"20210419","10106","뷔페식","22"
"20210419","10107","정종대포집(선술집)","55"
"20210419","10108","전통찻집","14"
"20210419","10110","출장조리","2"
"20210419","10111","패스트푸드","23"
"20210419","10112","호프(소주방)","240"
"20210419","10113","통닭(치킨)","48"
"20210419","10114","복어취급","1"
"20210419","10115","김밥(도시락)","18"
"20210419","10116","생선회","11"
"20210419","10117","까페","96"
"20210419","10118","식육취급","4"
"20210419","10119","탕류","4"
"20210419","10199","기타","1190"
"20210419","10201","카바레","7"
"20210419","10202","고고(디스코)클럽","5"
"20210419","10206","스텐드바","8"
"20210419","10207","비어(바)살롱","2"
"20210419","10208","룸살롱","153"
"20210419","10209","요정","9"
"20210419","10210","간이주점","6"
"20210419","10299","기타","9"
"20210419","10301","단란주점","116"
"20210419","10401","과자점","10"
"20210419","10402","다방","125"
"20210419","10403","일반조리판매","119"
"20210419","10408","철도역구내","1"
"20210419","10410","편의점","83"
"20210419","10411","패스트푸드","84"
"20210419","10412","커피숍","720"
"20210419","10413","전통찻집","63"
"20210419","10499","기타","443"
"20210419","20101","관광호텔","42"
"20210419","20102","일반호텔","23"
"20210419","20105","여관업","139"
"20210419","20107","여인숙업","18"
"20210419","20199","숙박업 기타","6"
"20210419","20301","일반이용업","89"
"20210419","24113","일반게임제공업","7"
"20210419","24201","비디오물감상실업","22"
"20210419","24205","노래연습장업","96"
"20210419","30111","무도학원업","4"
"20210420","10101","한식","2996"
"20210420","10102","중국식","185"
"20210420","10103","경양식","993"
"20210420","10104","일식","275"
"20210420","10105","분식","770"
"20210420","10106","뷔페식","22"
"20210420","10107","정종대포집(선술집)","55"
"20210420","10108","전통찻집","14"
"20210420","10110","출장조리","2"
"20210420","10111","패스트푸드","22"
"20210420","10112","호프(소주방)","240"
"20210420","10113","통닭(치킨)","48"
"20210420","10114","복어취급","1"
"20210420","10115","김밥(도시락)","18"
"20210420","10116","생선회","11"
"20210420","10117","까페","96"
"20210420","10118","식육취급","4"
"20210420","10119","탕류","4"
"20210420","10199","기타","1190"
"20210420","10201","카바레","7"
"20210420","10202","고고(디스코)클럽","5"
"20210420","10206","스텐드바","8"
"20210420","10207","비어(바)살롱","2"
"20210420","10208","룸살롱","153"
"20210420","10209","요정","9"
"20210420","10210","간이주점","6"
"20210420","10299","기타","9"
"20210420","10301","단란주점","116"
"20210420","10401","과자점","10"
"20210420","10402","다방","125"
"20210420","10403","일반조리판매","119"
"20210420","10408","철도역구내","1"
"20210420","10410","편의점","83"
"20210420","10411","패스트푸드","84"
"20210420","10412","커피숍","720"
"20210420","10413","전통찻집","63"
"20210420","10499","기타","444"
"20210420","20101","관광호텔","42"
"20210420","20102","일반호텔","23"
"20210420","20105","여관업","139"
"20210420","20107","여인숙업","18"
"20210420","20199","숙박업 기타","6"
"20210420","20301","일반이용업","89"
"20210420","24113","일반게임제공업","7"
"20210420","24201","비디오물감상실업","22"
"20210420","24205","노래연습장업","96"
"20210420","30111","무도학원업","4"
"20210421","10101","한식","2996"
"20210421","10102","중국식","185"
"20210421","10103","경양식","993"
"20210421","10104","일식","275"
"20210421","10105","분식","770"
"20210421","10106","뷔페식","22"
"20210421","10107","정종대포집(선술집)","55"
"20210421","10108","전통찻집","14"
"20210421","10110","출장조리","2"
"20210421","10111","패스트푸드","22"
"20210421","10112","호프(소주방)","240"
"20210421","10113","통닭(치킨)","48"
"20210421","10114","복어취급","1"
"20210421","10115","김밥(도시락)","18"
"20210421","10116","생선회","11"
"20210421","10117","까페","96"
"20210421","10118","식육취급","4"
"20210421","10119","탕류","4"
"20210421","10199","기타","1191"
"20210421","10201","카바레","7"
"20210421","10202","고고(디스코)클럽","5"
"20210421","10206","스텐드바","8"
"20210421","10207","비어(바)살롱","2"
"20210421","10208","룸살롱","153"
"20210421","10209","요정","9"
"20210421","10210","간이주점","6"
"20210421","10299","기타","9"
"20210421","10301","단란주점","116"
"20210421","10401","과자점","10"
"20210421","10402","다방","125"
"20210421","10403","일반조리판매","119"
"20210421","10408","철도역구내","1"
"20210421","10410","편의점","83"
"20210421","10411","패스트푸드","84"
"20210421","10412","커피숍","720"
"20210421","10413","전통찻집","63"
"20210421","10499","기타","444"
"20210421","20101","관광호텔","42"
"20210421","20102","일반호텔","23"
"20210421","20105","여관업","139"
"20210421","20107","여인숙업","18"
"20210421","20199","숙박업 기타","6"
"20210421","20301","일반이용업","89"
"20210421","24113","일반게임제공업","7"
"20210421","24201","비디오물감상실업","22"
"20210421","24205","노래연습장업","96"
"20210421","30111","무도학원업","4"
"20210422","10101","한식","2996"
"20210422","10102","중국식","185"
"20210422","10103","경양식","994"
"20210422","10104","일식","275"
"20210422","10105","분식","770"
"20210422","10106","뷔페식","22"
"20210422","10107","정종대포집(선술집)","55"
"20210422","10108","전통찻집","14"
"20210422","10110","출장조리","2"
"20210422","10111","패스트푸드","22"
"20210422","10112","호프(소주방)","240"
"20210422","10113","통닭(치킨)","48"
"20210422","10114","복어취급","1"
"20210422","10115","김밥(도시락)","18"
"20210422","10116","생선회","11"
"20210422","10117","까페","96"
"20210422","10118","식육취급","4"
"20210422","10119","탕류","4"
"20210422","10199","기타","1190"
"20210422","10201","카바레","7"
"20210422","10202","고고(디스코)클럽","5"
"20210422","10206","스텐드바","8"
"20210422","10207","비어(바)살롱","2"
"20210422","10208","룸살롱","153"
"20210422","10209","요정","9"
"20210422","10210","간이주점","6"
"20210422","10299","기타","9"
"20210422","10301","단란주점","116"
"20210422","10401","과자점","10"
"20210422","10402","다방","125"
"20210422","10403","일반조리판매","119"
"20210422","10408","철도역구내","1"
"20210422","10410","편의점","83"
"20210422","10411","패스트푸드","84"
"20210422","10412","커피숍","720"
"20210422","10413","전통찻집","63"
"20210422","10499","기타","444"
"20210422","20101","관광호텔","42"
"20210422","20102","일반호텔","23"
"20210422","20105","여관업","139"
"20210422","20107","여인숙업","18"
"20210422","20199","숙박업 기타","6"
"20210422","20301","일반이용업","89"
"20210422","24113","일반게임제공업","7"
"20210422","24201","비디오물감상실업","22"
"20210422","24205","노래연습장업","96"
"20210422","30111","무도학원업","4"
"20210423","10101","한식","2996"
"20210423","10102","중국식","185"
"20210423","10103","경양식","994"
"20210423","10104","일식","275"
"20210423","10105","분식","770"
"20210423","10106","뷔페식","22"
"20210423","10107","정종대포집(선술집)","55"
"20210423","10108","전통찻집","14"
"20210423","10110","출장조리","2"
"20210423","10111","패스트푸드","22"
"20210423","10112","호프(소주방)","240"
"20210423","10113","통닭(치킨)","48"
"20210423","10114","복어취급","1"
"20210423","10115","김밥(도시락)","18"
"20210423","10116","생선회","11"
"20210423","10117","까페","96"
"20210423","10118","식육취급","4"
"20210423","10119","탕류","4"
"20210423","10199","기타","1192"
"20210423","10201","카바레","7"
"20210423","10202","고고(디스코)클럽","5"
"20210423","10206","스텐드바","8"
"20210423","10207","비어(바)살롱","2"
"20210423","10208","룸살롱","153"
"20210423","10209","요정","9"
"20210423","10210","간이주점","6"
"20210423","10299","기타","9"
"20210423","10301","단란주점","116"
"20210423","10401","과자점","10"
"20210423","10402","다방","126"
"20210423","10403","일반조리판매","119"
"20210423","10408","철도역구내","1"
"20210423","10410","편의점","83"
"20210423","10411","패스트푸드","84"
"20210423","10412","커피숍","720"
"20210423","10413","전통찻집","63"
"20210423","10499","기타","444"
"20210423","20101","관광호텔","42"
"20210423","20102","일반호텔","23"
"20210423","20105","여관업","139"
"20210423","20107","여인숙업","18"
