기간	자치구	합계	합계	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	합계	합계	소계	소계	재가보호	재가보호	시설보호	시설보호	미보호	미보호	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수
2011	계	33,876	87,595	22,392	57,701	22,350	57,625	42	76	…	…	11,484	29,894	…	…
2011	종로구	412	1,110	315	794	315	794	…	…	…	…	97	316	…	…
2011	중구	596	1,375	373	924	373	924	…	…	…	…	223	451	…	…
2011	용산구	470	1,081	369	860	358	837	11	23	…	…	101	221	…	…
2011	성동구	1,042	2,655	612	1,517	612	1,517	…	…	…	…	430	1,138	…	…
2011	광진구	1,374	3,529	1,015	2,587	1,015	2,587	…	…	…	…	359	942	…	…
2011	동대문구	1,403	3,597	903	2,258	903	2,258	…	…	…	…	500	1,339	…	…
2011	중랑구	2,253	5,947	1,765	4,581	1,764	4,579	1	2	…	…	488	1,366	…	…
2011	성북구	1,133	2,938	873	2,217	873	2,217	…	…	…	…	260	721	…	…
2011	강북구	2,326	6,041	1,268	3,235	1,268	3,235	…	…	…	…	1,058	2,806	…	…
2011	도봉구	1,732	5,067	1,184	3,444	1,184	3,444	…	…	…	…	548	1,623	…	…
2011	노원구	2,613	6,785	1,221	3,076	1,219	3,072	2	4	…	…	1,392	3,709	…	…
2011	은평구	2,197	6,601	1,490	4,554	1,490	4,554	…	…	…	…	707	2,047	…	…
2011	서대문구	1,122	2,826	793	1,978	793	1,978	…	…	…	…	329	848	…	…
2011	마포구	1,101	2,807	761	1,902	761	1,902	…	…	…	…	340	905	…	…
2011	양천구	1,497	3,947	1,246	3,205	1,246	3,205	…	…	…	…	251	742	…	…
2011	강서구	2,706	5,785	1,344	3,131	1,324	3,102	20	29	…	…	1,362	2,654	…	…
2011	구로구	1,260	3,138	912	2,261	905	2,245	7	16	…	…	348	877	…	…
2011	금천구	1,434	3,639	936	2,365	936	2,365	…	…	…	…	498	1,274	…	…
2011	영등포구	619	1,563	454	1,138	454	1,138	…	…	…	…	165	425	…	…
2011	동작구	1,350	3,549	869	2,234	869	2,234	…	…	…	…	481	1,315	…	…
2011	관악구	1,620	4,200	1,138	2,919	1,137	2,917	1	2	…	…	482	1,281	…	…
2011	서초구	577	1,533	379	957	379	957	…	…	…	…	198	576	…	…
2011	강남구	506	1,305	341	900	341	900	…	…	…	…	165	405	…	…
2011	송파구	1,460	3,896	1,024	2,647	1,024	2,647	…	…	…	…	436	1,249	…	…
2011	강동구	1,073	2,681	807	2,017	807	2,017	…	…	…	…	266	664	…	…
2012	계	37,845	97,913	26,227	67,295	26,106	67,058	121	237	…	…	11,617	30,615	1	3
2012	종로구	462	1,193	312	794	312	794	-	-	…	…	150	399	-	-
2012	중구	530	1,357	354	892	354	892	-	-	…	…	176	465	-	-
2012	용산구	367	899	323	789	316	774	7	15	…	…	44	110	-	-
2012	성동구	1,079	3,207	701	1,772	701	1,772	-	-	…	…	378	1,435	-	-
2012	광진구	1,512	3,835	1,238	3,105	1,238	3,105	-	-	…	…	274	730	-	-
2012	동대문구	1,420	3,536	1,018	2,484	1,018	2,484	-	-	…	…	402	1,052	-	-
2012	중랑구	2,837	7,187	2,129	5,326	2,129	5,326	-	-	…	…	708	1,861	-	-
2012	성북구	1,836	4,767	1,285	3,280	1,253	3,212	32	68	…	…	551	1,487	-	-
2012	강북구	2,435	6,260	1,615	4,143	1,615	4,143	-	-	…	…	820	2,117	-	-
2012	도봉구	1,795	4,555	1,149	3,409	1,149	3,409	-	-	…	…	646	1,146	-	-
2012	노원구	2,847	7,533	1,237	3,280	1,227	3,257	10	23	…	…	1,609	4,250	1	3
2012	은평구	2,397	5,982	1,781	4,458	1,781	4,458	-	-	…	…	616	1,524	-	-
2012	서대문구	1,131	2,842	895	2,241	876	2,203	19	38	…	…	236	601	-	-
2012	마포구	1,067	3,121	762	1,999	760	1,995	2	4	…	…	305	1,122	-	-
2012	양천구	1,939	5,124	1,414	3,606	1,414	3,606	-	-	…	…	525	1,518	-	-
2012	강서구	2,279	6,002	1,707	4,526	1,703	4,514	4	12	…	…	572	1,476	-	-
2012	구로구	1,523	3,801	1,183	2,965	1,158	2,914	25	51	…	…	340	836	-	-
2012	금천구	1,514	3,847	1,072	2,670	1,072	2,670	-	-	…	…	442	1,177	-	-
2012	영등포구	996	2,456	688	1,681	688	1,681	-	-	…	…	308	775	-	-
2012	동작구	1,432	3,678	937	2,328	937	2,328	-	-	…	…	495	1,350	-	-
2012	관악구	1,783	4,631	1,162	3,018	1,162	3,018	-	-	…	…	621	1,613	-	-
2012	서초구	650	1,660	463	1,144	463	1,144	-	-	…	…	187	516	-	-
2012	강남구	995	2,393	555	1,329	533	1,303	22	26	…	…	440	1,064	-	-
2012	송파구	1,571	4,433	1,164	3,323	1,164	3,323	-	-	…	…	407	1,110	-	-
2012	강동구	1,448	3,614	1,083	2,733	1,083	2,733	-	-	…	…	365	881	-	-
2013	계	39,751	104,727	27,469	71,365	27,226	70,828	243	537	-	-	12,281	33,359	1	3
2013	종로구	498	1,302	367	952	358	935	9	17	-	-	131	350	-	-
2013	중구	479	1,217	332	842	332	842	-	-	-	-	147	375	-	-
2013	용산구	658	1,687	467	1,191	439	1,121	28	70	-	-	191	496	-	-
2013	성동구	1,095	2,900	728	1,875	728	1,875	-	-	-	-	367	1,025	-	-
2013	광진구	1,513	3,916	1,155	2,954	1,153	2,950	2	4	-	-	358	962	-	-
2013	동대문구	1,561	4,076	1,033	2,635	1,032	2,634	1	1	-	-	528	1,441	-	-
2013	중랑구	2,803	7,480	2,273	5,993	2,261	5,969	12	24	-	-	530	1,487	-	-
2013	성북구	1,851	4,775	1,254	3,193	1,225	3,125	29	68	-	-	597	1,582	-	-
2013	강북구	2,496	6,621	1,605	4,161	1,603	4,155	2	6	-	-	891	2,460	-	-
2013	도봉구	1,910	5,015	1,441	3,745	1,433	3,731	8	14	-	-	469	1,270	-	-
2013	노원구	2,983	7,933	1,580	4,091	1,546	4,013	34	78	-	-	1,402	3,839	1	3
2013	은평구	2,580	6,870	1,845	4,831	1,844	4,830	1	1	-	-	735	2,039	-	-
2013	서대문구	1,297	3,327	938	2,382	933	2,370	5	12	-	-	359	945	-	-
2013	마포구	1,127	2,988	759	1,988	759	1,988	-	-	-	-	368	1,000	-	-
2013	양천구	1,869	4,948	1,437	3,761	1,431	3,750	6	11	-	-	432	1,187	-	-
2013	강서구	2,676	7,111	1,721	4,558	1,713	4,544	8	14	-	-	955	2,553	-	-
2013	구로구	1,355	3,563	1,003	2,601	933	2,434	70	167	-	-	352	962	-	-
2013	금천구	1,668	4,377	1,096	2,842	1,082	2,812	14	30	-	-	572	1,535	-	-
2013	영등포구	1,006	2,602	679	1,742	677	1,740	2	2	-	-	327	860	-	-
