기간	자치구	경찰청	경찰서	지구대파출소치안센터	소방본부	소방서	119안전센터
2011	합계	2	31	433	1	22	114
2011	종로구	1	2	23	-	1	6
2011	중구	-	2	17	1	1	5
2011	용산구	-	1	12	-	1	5
2011	성동구	-	1	15	-	-	3
2011	광진구	-	1	13	-	1	4
2011	동대문구	-	1	22	-	1	5
2011	중랑구	-	1	16	-	1	4
2011	성북구	-	2	25	-	1	4
2011	강북구	-	1	15	-	-	3
2011	도봉구	-	1	11	-	1	3
2011	노원구	-	1	19	-	1	5
2011	은평구	-	2	19	-	1	4
2011	서대문구	1	1	12	-	1	4
2011	마포구	-	1	18	-	1	6
2011	양천구	-	1	17	-	1	5
2011	강서구	-	1	15	-	1	5
2011	구로구	-	1	18	-	1	6
2011	금천구	-	-	11	-	-	2
2011	영등포구	-	1	17	-	1	5
2011	동작구	-	1	16	-	1	4
2011	관악구	-	2	22	-	1	4
2011	서초구	-	2	18	-	1	6
2011	강남구	-	2	23	-	1	5
2011	송파구	-	1	21	-	1	6
2011	강동구	-	1	18	-	1	5
2012	합계	2	31	433	1	23	115
2012	종로구	1	2	23	-	1	6
2012	중구	-	2	17	1	1	5
2012	용산구	-	1	12	-	1	5
2012	성동구	-	1	15	-	-	4
2012	광진구	-	1	12	-	1	3
2012	동대문구	-	1	22	-	1	5
2012	중랑구	-	1	17	-	1	4
2012	성북구	-	2	25	-	1	4
2012	강북구	-	1	15	-	1	4
2012	도봉구	-	1	11	-	1	3
2012	노원구	-	1	19	-	1	5
2012	은평구	-	2	19	-	1	4
2012	서대문구	1	1	12	-	1	4
2012	마포구	-	1	18	-	1	6
2012	양천구	-	1	17	-	1	5
2012	강서구	-	1	15	-	1	5
2012	구로구	-	1	18	-	1	6
2012	금천구	-	-	11	-	-	2
2012	영등포구	-	1	17	-	1	5
2012	동작구	-	1	16	-	1	4
2012	관악구	-	2	22	-	1	4
2012	서초구	-	2	18	-	1	6
2012	강남구	-	2	23	-	1	5
2012	송파구	-	1	21	-	1	6
2012	강동구	-	1	18	-	1	5
2013	합계	2	31	429	1	23	115
2013	종로구	1	2	23	-	1	6
2013	중구	-	2	17	1	1	5
2013	용산구	-	1	12	-	1	5
2013	성동구	-	1	15	-	-	4
2013	광진구	-	1	10	-	1	3
2013	동대문구	-	1	22	-	1	5
2013	중랑구	-	1	18	-	1	4
2013	성북구	-	2	24	-	1	4
2013	강북구	-	1	15	-	1	4
2013	도봉구	-	1	11	-	1	3
2013	노원구	-	1	19	-	1	5
2013	은평구	-	2	19	-	1	4
2013	서대문구	1	1	11	-	1	4
2013	마포구	-	1	18	-	1	6
2013	양천구	-	1	18	-	1	5
2013	강서구	-	1	14	-	1	5
2013	구로구	-	1	18	-	1	6
2013	금천구	-	-	11	-	-	2
2013	영등포구	-	1	17	-	1	5
2013	동작구	-	1	16	-	1	4
2013	관악구	-	2	21	-	1	4
2013	서초구	-	2	18	-	1	6
2013	강남구	-	2	23	-	1	5
2013	송파구	-	1	21	-	1	6
2013	강동구	-	1	18	-	1	5
2014	합계	2	31	428	1	23	115
2014	종로구	1	2	23	-	1	6
2014	중구	-	2	18	1	1	5
2014	용산구	-	1	12	-	1	5
2014	성동구	-	1	15	-	-	4
2014	광진구	-	1	10	-	1	3
2014	동대문구	-	1	22	-	1	5
2014	중랑구	-	1	18	-	1	4
2014	성북구	-	2	24	-	1	4
2014	강북구	-	1	15	-	1	4
2014	도봉구	-	1	10	-	1	3
2014	노원구	-	1	19	-	1	5
2014	은평구	-	2	20	-	1	4
2014	서대문구	1	1	11	-	1	4
2014	마포구	-	1	16	-	1	6
2014	양천구	-	1	18	-	1	5
2014	강서구	-	1	14	-	1	5
2014	구로구	-	1	18	-	1	6
2014	금천구	-	-	11	-	-	2
2014	영등포구	-	1	17	-	1	5
2014	동작구	-	1	16	-	1	4
2014	관악구	-	2	21	-	1	4
2014	서초구	-	2	18	-	1	6
2014	강남구	-	2	23	-	1	5
2014	송파구	-	1	21	-	1	6
2014	강동구	-	1	18	-	1	5
2015	합계	2	31	428	1	23	116
2015	종로구	1	2	23	-	1	6
2015	중구	-	2	18	1	1	5
2015	용산구	-	1	12	-	1	5
2015	성동구	-	1	15	-	-	4
2015	광진구	-	1	10	-	1	3
2015	동대문구	-	1	22	-	1	5
2015	중랑구	-	1	18	-	1	4
2015	성북구	-	2	24	-	1	4
2015	강북구	-	1	15	-	1	4
2015	도봉구	-	1	10	-	1	4
2015	노원구	-	1	19	-	1	5
2015	은평구	-	2	20	-	1	4
2015	서대문구	1	1	11	-	1	4
2015	마포구	-	1	18	-	1	6
2015	양천구	-	1	18	-	1	5
2015	강서구	-	1	13	-	1	5
2015	구로구	-	1	18	-	1	6
2015	금천구	-	1	12	-	-	2
2015	영등포구	-	1	16	-	1	5
2015	동작구	-	1	16	-	1	4
2015	관악구	-	1	20	-	1	4
2015	서초구	-	2	19	-	1	6
2015	강남구	-	2	23	-	1	5
2015	송파구	-	1	21	-	1	6
2015	강동구	-	1	17	-	1	5
2016	합계	2	31	427	1	23	116
2016	종로구	1	2	23	-	1	6
2016	중구	-	2	19	1	1	5
2016	용산구	-	1	12	-	1	5
2016	성동구	-	1	15	-	-	4
2016	광진구	-	1	10	-	1	3
2016	동대문구	-	1	21	-	1	5
2016	중랑구	-	1	18	-	1	4
2016	성북구	-	2	24	-	1	4
2016	강북구	-	1	15	-	1	4
2016	도봉구	-	1	10	-	1	4
2016	노원구	-	1	19	-	1	5
2016	은평구	-	2	20	-	1	4
2016	서대문구	1	1	11	-	1	4
2016	마포구	-	1	17	-	1	6
2016	양천구	-	1	17	-	1	5
2016	강서구	-	1	13	-	1	5
2016	구로구	-	1	19	-	1	6
2016	금천구	-	1	12	-	-	2
2016	영등포구	-	1	15	-	1	5
2016	동작구	-	1	16	-	1	4
2016	관악구	-	1	20	-	1	4
2016	서초구	-	2	19	-	1	6
2016	강남구	-	2	24	-	1	5
2016	송파구	-	1	21	-	1	6
2016	강동구	-	1	17	-	1	5
2017	합계	2	31	425	1	24	116
2017	종로구	1	2	23	-	1	6
2017	중구	-	2	18	1	1	5
2017	용산구	-	1	12	-	1	5
2017	성동구	-	1	15	-	1	4
2017	광진구	-	1	11	-	1	3
2017	동대문구	-	1	21	-	1	5
2017	중랑구	-	1	18	-	1	4
2017	성북구	-	2	24	-	1	4
2017	강북구	-	1	15	-	1	4
2017	도봉구	-	1	10	-	1	4
2017	노원구	-	1	19	-	1	5
2017	은평구	-	2	20	-	1	4
2017	서대문구	1	1	11	-	1	4
2017	마포구	-	1	17	-	1	6
2017	양천구	-	1	17	-	1	5
2017	강서구	-	1	12	-	1	5
2017	구로구	-	1	17	-	1	6
2017	금천구	-	1	12	-	-	2
2017	영등포구	-	1	15	-	1	5
2017	동작구	-	1	17	-	1	4
2017	관악구	-	1	20	-	1	4
2017	서초구	-	2	19	-	1	6
2017	강남구	-	2	24	-	1	5
2017	송파구	-	1	21	-	1	6
2017	강동구	-	1	17	-	1	5
2018	합계	2	31	414	1	24	117
2018	종로구	1	2	23	-	1	6
2018	중구	-	2	18	1	1	5
2018	용산구	-	1	12	-	1	5
2018	성동구	-	1	15	-	1	4
2018	광진구	-	1	12	-	1	3
2018	동대문구	-	1	20	-	1	5
2018	중랑구	-	1	17	-	1	4
2018	성북구	-	2	24	-	1	4
2018	강북구	-	1	14	-	1	4
2018	도봉구	-	1	9	-	1	4
2018	노원구	-	1	18	-	1	5
2018	은평구	-	2	20	-	1	4
2018	서대문구	1	1	11	-	1	4
2018	마포구	-	1	17	-	1	6
2018	양천구	-	1	15	-	1	5
2018	강서구	-	1	12	-	1	5
2018	구로구	-	1	16	-	1	6
2018	금천구	-	1	12	-	-	2
2018	영등포구	-	1	15	-	1	5
2018	동작구	-	1	17	-	1	4
2018	관악구	-	1	19	-	1	4
2018	서초구	-	2	19	-	1	6
2018	강남구	-	2	23	-	1	6
2018	송파구	-	1	20	-	1	6
2018	강동구	-	1	16	-	1	5
2019	합계	2	31	410	1	24	118
2019	종로구	1	2	23	-	1	6
2019	중구	-	2	18	1	1	5
2019	용산구	-	1	12	-	1	5
2019	성동구	-	1	15	-	1	4
2019	광진구	-	1	12	-	1	3
2019	동대문구	-	1	20	-	1	5
2019	중랑구	-	1	17	-	1	4
2019	성북구	-	2	24	-	1	4
2019	강북구	-	1	14	-	1	4
2019	도봉구	-	1	9	-	1	4
2019	노원구	-	1	17	-	1	5
2019	은평구	-	2	20	-	1	4
2019	서대문구	1	1	11	-	1	4
2019	마포구	-	1	15	-	1	6
2019	양천구	-	1	16	-	1	5
2019	강서구	-	1	12	-	1	6
2019	구로구	-	1	16	-	1	6
2019	금천구	-	1	12	-	-	2
2019	영등포구	-	1	15	-	1	5
2019	동작구	-	1	17	-	1	4
2019	관악구	-	1	19	-	1	4
2019	서초구	-	2	19	-	1	6
2019	강남구	-	2	21	-	1	6
2019	송파구	-	1	20	-	1	6
2019	강동구	-	1	16	-	1	5
