,학교명,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),500미터내_파출소개수,500미터내_CCTV개수,cluster,학교코드,score_1st
0,개포고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.047926487719119296,-0.8513610451481637,-0.39669618852867705,2,S010000373,0.6
1,경기고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.7527520949904905,0.5602220348902424,-0.3106478710711772,4,S010000375,0.4
2,경기여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,-0.8513610451481637,-0.4827445059861769,2,S010000376,0.6
3,국립국악고등학교,-2.5045413298101655,-1.7764695763913763,-1.8232729703268034,-0.5264733650942963,0.5602220348902424,0.7004198590544461,3,S000003540,0.2
4,단국대학교부속소프트웨어고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.23892531756467128,-0.8513610451481637,0.5283232241394464,3,S010000581,0.2
5,단국대학교사범대학부속고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.0595664709165655,-0.8513610451481637,0.5283232241394464,4,S010000405,0.4
6,대진디자인고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.5403982100109852,-0.8513610451481637,-0.8269377758161763,2,S010000416,0.6
7,서울로봇고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.8054380511869937,-0.8513610451481637,-0.8914740139093013,2,S010000577,0.6
8,서울세종고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.3276197355628263,0.5602220348902424,-0.5257686647149268,4,S010000459,0.4
9,수도전기공업고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.5151050346740309,-0.8513610451481637,-0.3536720297999271,4,S010000594,0.4
10,숙명여자고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,0.8054380511869937,-0.8513610451481637,-0.4612324266218019,2,S010000479,0.6
11,압구정고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-1.1440402371494476,0.5602220348902424,-0.6978652996299265,0,S010000400,1
12,영동고등학교,-2.5045413298101655,0.5629142279100245,0.548464226846274,-0.9369081690137007,-0.8513610451481637,0.5068111447750715,3,S010000495,0.2
13,은광여자고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.6409287461883257,-0.8513610451481637,0.6358836209613213,4,S010000514,0.4
14,중동고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.06486475610606045,0.5602220348902424,-0.3106478710711772,0,S010000531,1
15,중산고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.06486475610606045,-0.8513610451481637,-0.33215995043555213,2,S010000532,0.6
16,중앙대학교사범대학부속고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9929556698033735,-0.8513610451481637,-0.4827445059861769,2,S010000534,0.6
17,진선여자고등학교,-2.5045413298101655,0.5629142279100245,0.548464226846274,-0.9456111970866312,-0.8513610451481637,-0.2891357917068022,3,S010000538,0.2
18,청담고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.06486475610606045,-0.8513610451481637,-0.3106478710711772,2,S010000542,0.6
19,풍문고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.3433616544398378,-0.8513610451481637,-0.6548411409011766,3,S010000548,0.2
20,현대고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.2231833986876597,0.5602220348902424,0.05505747812319724,0,S010000559,1
21,휘문고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-1.0013105767533867,-0.8513610451481637,0.3132024304956968,3,S010000568,0.2
22,강동고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9974812444012972,-0.8513610451481637,-0.9775223313668011,2,S010000371,0.6
23,강일고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9960887599096284,-0.8513610451481637,-1.020546490095551,2,S010005522,0.6
24,광문고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.42273327046496434,-0.8513610451481637,-0.5257686647149268,2,S010000392,0.6
25,동북고등학교,-2.5045413298101655,0.5629142279100245,0.548464226846274,-0.9755496136575124,-0.8513610451481637,-1.1711310456461759,3,S010000423,0.2
26,둔촌고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.12265286251031932,0.5602220348902424,0.6358836209613213,0,S010000428,1
27,명일여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,-0.8513610451481637,-0.6333290615368017,2,S010000434,0.6
28,배재고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.8670554899433421,-0.8513610451481637,-0.439720347257427,2,S010000443,0.6
29,상일미디어고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.6094458589845981,0.5602220348902424,-0.7839136170874264,0,S010000586,1
30,상일여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9929556698033735,0.5602220348902424,-0.4612324266218019,0,S010000453,1
31,서울컨벤션고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.38769270368632774,0.5602220348902424,-0.4612324266218019,0,S010000606,1
32,선사고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.8819050315927797,-0.8513610451481637,0.6789077796900712,4,S010005563,0.4
33,성덕고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.0261468431165122,0.5602220348902424,1.5178788749006948,4,S010000609,0.4
34,한영고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.1753388187068225,0.5602220348902424,-0.6763532202655516,0,S010000558,1
35,한영외국어고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,-0.8888674540511241,0.5602220348902424,-0.6763532202655516,4,S010000576,0.4
36,미양고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.06138354487688823,-0.8513610451481637,0.829492335240696,2,S010005541,0.6
37,삼각산고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,2.8941647886903237,0.5602220348902424,0.6358836209613213,0,S010005518,1
38,성암국제무역고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,0.5602220348902424,1.2597339225281954,0,S010000645,1
39,신일고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,0.45731692826977205,-0.8513610451481637,0.9155406526981958,4,S010000486,0.4
