자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.58060837,127.0839081,2
중랑구,방범,37.58890492,127.0979823,2
중랑구,방범,37.58165098,127.0891585,2
중랑구,방범,37.59989966,127.0900183,2
중랑구,방범,37.59381126,127.0927863,2
중랑구,방범,37.58698509,127.0782852,4
중랑구,방범,37.59997064,127.1069956,2
중랑구,방범,37.60044142,127.0953652,1
중랑구,방범,37.57680212,127.0856891,1
중랑구,방범,37.60067709,127.0825481,3
중랑구,방범,37.58888626,127.0831223,2
중랑구,방범,37.59993362,127.0952301,2
중랑구,방범,37.59991821,127.0907752,3
중랑구,방범,37.60307935,127.1054302,1
중랑구,방범,37.59883499,127.0812988,3
중랑구,방범,37.60205078,127.1059723,1
중랑구,방범,37.61289978,127.080574,2
중랑구,방범,37.5990887,127.0860606,1
중랑구,방범,37.60112546,127.1070118,1
중랑구,방범,37.60032654,127.0872269,1
중랑구,방범,37.57810438,127.0858177,1
중랑구,방범,37.59185171,127.0919499,1
중랑구,방범,37.60037801,127.1081954,3
중랑구,방범,37.58900042,127.1021018,3
중랑구,방범,37.60093503,127.0951839,1
중랑구,방범,37.58336657,127.0912427,3
중랑구,방범,37.60137859,127.0833063,2
중랑구,방범,37.5919684,127.0835279,2
중랑구,방범,37.59812164,127.075592,2
중랑구,방범,37.60121865,127.1133841,4
중랑구,방범,37.6018871,127.1087112,1
중랑구,방범,37.58006142,127.0845604,3
중랑구,방범,37.60111198,127.0952957,3
중랑구,방범,37.60137558,127.111496,2
중랑구,방범,37.59430895,127.0987213,4
중랑구,방범,37.59734344,127.0761108,3
중랑구,방범,37.60101668,127.0868236,2
중랑구,방범,37.60195923,127.1017075,2
중랑구,방범,37.60110092,127.0911179,3
중랑구,방범,37.60914612,127.0804977,4
중랑구,방범,37.60121055,127.1066125,1
중랑구,방범,37.57284399,127.0847776,3
중랑구,방범,37.60219574,127.0927429,2
중랑구,방범,37.58657228,127.0916418,1
중랑구,방범,37.60232543,127.0920675,3
중랑구,방범,37.59415158,127.0894051,4
중랑구,방범,37.60123428,127.1047282,4
중랑구,방범,37.59058762,127.0781403,1
중랑구,방범,37.60202026,127.105957,1
중랑구,방범,37.60198975,127.0890198,4
중랑구,방범,37.59070195,127.0868494,2
중랑구,방범,37.60202506,127.1101952,3
중랑구,방범,37.59106545,127.0757179,1
중랑구,방범,37.60174942,127.0934067,2
중랑구,방범,37.59170898,127.0858582,1
중랑구,방범,37.6009457,127.0755168,1
중랑구,방범,37.61504364,127.0745239,2
중랑구,방범,37.57659995,127.0803679,2
중랑구,방범,37.59793707,127.0775252,1
중랑구,방범,37.60349027,127.0939575,4
중랑구,방범,37.60268183,127.0872944,3
중랑구,방범,37.60204315,127.0811462,3
중랑구,방범,37.59375365,127.0941023,3
중랑구,방범,37.60084152,127.0751877,3
중랑구,방범,37.59922028,127.0862198,4
중랑구,방범,37.5800067,127.0887392,4
중랑구,방범,37.60401535,127.0751572,2
중랑구,방범,37.60243988,127.0751953,1
중랑구,방범,37.59397888,127.0834198,2
중랑구,방범,37.58056474,127.0849703,2
중랑구,방범,37.59837085,127.0878654,2
중랑구,방범,37.59893036,127.0761337,1
중랑구,방범,37.58168793,127.0904465,3
중랑구,방범,37.59501114,127.0828974,4
중랑구,방범,37.60502307,127.0962065,1
중랑구,방범,37.60796319,127.0756635,2
중랑구,방범,37.6019516,127.0851135,3
중랑구,방범,37.61326218,127.075943,2
중랑구,방범,37.60812421,127.0766178,4
중랑구,방범,37.61722767,127.1006182,2
중랑구,방범,37.61580276,127.0816345,3
중랑구,방범,37.6014678,127.11458,3
중랑구,방범,37.58612823,127.0939713,4
중랑구,방범,37.60316849,127.0798798,4
중랑구,방범,37.60949326,127.074585,4
중랑구,방범,37.57907617,127.0836042,1
중랑구,방범,37.61762162,127.0781483,1
중랑구,방범,37.61162186,127.0740814,4
중랑구,방범,37.6052401,127.076133,1
중랑구,방범,37.61763382,127.0804367,4
중랑구,방범,37.58734131,127.0921478,4
중랑구,방범,37.60151758,127.0792524,1
중랑구,방범,37.58972168,127.0960236,5
중랑구,방범,37.59380186,127.1027397,2
중랑구,방범,37.60082932,127.0851808,1
