기간	지역	총인구	9세-24세	9세-24세	0세-18세	0세-18세	학령인구	학령인구
기간	지역	총인구	계	구성비	계	구성비	계	구성비
2020	합계	9,668,465	1,484,657	15.4	1,310,205	13.6	1,293,373	13.4
2020	종로구	149,384	22,399	15	17,058	11.4	18,320	12.3
2020	중구	125,240	15,108	12.1	12,650	10.1	12,271	9.8
2020	용산구	230,040	30,791	13.4	27,060	11.8	26,389	11.5
2020	성동구	293,556	41,368	14.1	37,495	12.8	34,901	11.9
2020	광진구	346,682	54,461	15.7	42,214	12.2	43,720	12.6
2020	동대문구	342,837	51,911	15.1	41,131	12	41,477	12.1
2020	중랑구	394,702	52,927	13.4	46,312	11.7	45,110	11.4
2020	성북구	437,153	73,051	16.7	61,127	14	62,511	14.3
2020	강북구	308,055	43,659	14.2	34,835	11.3	36,543	11.9
2020	도봉구	325,257	48,328	14.9	41,113	12.6	42,121	13
2020	노원구	523,037	95,042	18.2	79,877	15.3	83,898	16
2020	은평구	479,835	71,818	15	63,704	13.3	63,192	13.2
2020	서대문구	312,173	48,373	15.5	40,673	13	40,455	13
2020	마포구	371,890	56,642	15.2	49,806	13.4	47,803	12.9
2020	양천구	454,251	84,162	18.5	77,043	17	78,675	17.3
2020	강서구	580,185	83,253	14.3	78,957	13.6	74,597	12.9
2020	구로구	404,408	56,639	14	54,779	13.5	50,854	12.6
2020	금천구	231,733	30,365	13.1	25,307	10.9	24,783	10.7
2020	영등포구	379,480	48,631	12.8	46,945	12.4	41,984	11.1
2020	동작구	391,220	58,088	14.8	48,715	12.5	47,805	12.2
2020	관악구	495,060	70,431	14.2	46,737	9.4	49,940	10.1
2020	서초구	425,126	74,913	17.6	74,581	17.5	72,251	17
2020	강남구	539,231	97,656	18.1	89,667	16.6	91,582	17
2020	송파구	667,960	105,170	15.7	103,087	15.4	97,591	14.6
2020	강동구	459,970	69,471	15.1	69,332	15.1	64,600	14
