구,학교명,학교코드,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당)
강남구,개포고등학교,S010000373,1,1,1,382.4
강남구,경기고등학교,S010000375,1,0,1,152.4
강남구,경기여자고등학교,S010000376,1,1,1,200.0
강남구,국립국악고등학교,S000003540,0,0,0,217.4
강남구,단국대학교부속소프트웨어고등학교,S010000581,0,1,0,300.0
강남구,단국대학교사범대학부속고등학교,S010000405,1,0,1,673.0
강남구,대진디자인고등학교,S010000416,1,1,0,213.4
강남구,서울로봇고등학교,S010000577,1,1,1,600.0
강남구,서울세종고등학교,S010000459,1,0,1,750.0
강남구,수도전기공업고등학교,S010000594,1,0,1,516.6
강남구,숙명여자고등학교,S010000479,1,1,0,600.0
강남구,압구정고등학교,S010000400,1,1,1,40.0
강남구,영동고등학교,S010000495,0,1,1,99.5
강남구,은광여자고등학교,S010000514,1,0,1,840.0
강남구,중동고등학교,S010000531,1,1,0,350.0
강남구,중산고등학교,S010000532,1,1,1,350.0
강남구,중앙대학교사범대학부속고등학교,S010000534,1,1,1,83.4
강남구,진선여자고등학교,S010000538,0,1,1,97.0
강남구,청담고등학교,S010000542,1,1,1,350.0
강남구,풍문고등학교,S010000548,0,1,0,270.0
강남구,현대고등학교,S010000559,1,1,1,720.0
강남구,휘문고등학교,S010000568,0,1,0,81.0
강동구,강동고등학교,S010000371,1,1,1,82.1
강동구,강일고등학교,S010005522,1,1,1,82.5
강동구,광문고등학교,S010000392,1,1,1,247.2
강동구,동북고등학교,S010000423,0,1,1,88.4
강동구,둔촌고등학교,S010000428,1,1,1,333.4
강동구,명일여자고등학교,S010000434,1,1,1,200.0
강동구,배재고등학교,S010000443,1,1,1,617.7
강동구,상일미디어고등학교,S010000586,1,1,1,543.7
강동구,상일여자고등학교,S010000453,1,1,1,83.4
강동구,서울컨벤션고등학교,S010000606,1,1,1,480.0
강동구,선사고등학교,S010005563,1,0,1,115.3
강동구,성덕고등학교,S010000609,1,0,1,663.4
강동구,한영고등학교,S010000558,1,1,1,419.0
강동구,한영외국어고등학교,S010000576,1,0,0,113.3
강북구,미양고등학교,S010005541,1,1,1,351.0
강북구,삼각산고등학교,S010005518,1,1,1,1200.0
강북구,성암국제무역고등학교,S010000645,1,1,1,200.0
강북구,신일고등학교,S010000486,1,0,0,500.0
강북구,영훈고등학교,S010000505,0,1,1,173.3
강북구,창문여자고등학교,S010000541,1,1,1,880.0
강북구,혜화여자고등학교,S010000562,1,1,1,300.0
강서구,강서공업고등학교,S010000578,1,1,1,416.6
강서구,경복비즈니스고등학교,S010000628,1,1,1,122.2
강서구,경복여자고등학교,S010000380,1,1,0,420.0
강서구,공항고등학교,S010000389,1,1,1,1900.0
강서구,대일고등학교,S010000413,0,0,1,416.7
강서구,덕원여자고등학교,S010000418,1,0,1,200.0
강서구,덕원예술고등학교,S010000622,0,1,0,593.4
강서구,동양고등학교,S010000584,1,1,1,139.2
강서구,등촌고등학교,S010005208,1,1,1,87.0
강서구,마포고등학교,S010000429,1,1,1,100.0
강서구,명덕고등학교,S010000431,0,0,0,1239.4
강서구,명덕여자고등학교,S010000432,1,1,1,171.0
강서구,명덕외국어고등학교,S010000573,0,0,0,253.3
강서구,서울신정고등학교,S010000610,1,1,1,934.6
강서구,서울항공비즈니스고등학교,S010000646,1,1,1,315.4
강서구,세현고등학교,S010005270,1,1,1,562.6
강서구,수명고등학교,S010005582,1,1,1,562.6
강서구,영등포공업고등학교,S010000596,1,0,0,341.1
강서구,영일고등학교,S010000503,1,1,1,236.7
강서구,한광고등학교,S010000551,1,1,1,1269.2
강서구,한서고등학교,S010000554,1,1,1,829.6
강서구,화곡고등학교,S010000565,1,1,1,84.0
강서구,화곡보건경영고등학교,S010000655,0,1,0,79.9
관악구,광신고등학교,S010000394,0,0,1,680.0
관악구,광신방송예술고등학교,S010000631,0,1,0,337.5
관악구,구암고등학교,S010005528,1,1,1,113.1
관악구,남강고등학교,S010000403,1,1,1,140.6
관악구,당곡고등학교,S010000406,1,1,1,172.7
관악구,미림여자고등학교,S010000439,1,0,1,200.0
관악구,미림여자정보과학고등학교,S010000639,0,1,0,954.5
관악구,삼성고등학교,S010000448,1,1,1,146.0
관악구,서울관광고등학교,S010000630,1,1,1,543.6
관악구,서울문영여자고등학교,S010000437,1,1,1,890.0
관악구,서울미술고등학교,S010000458,1,1,1,433.3
관악구,서울여자상업고등학교,S010000607,0,1,0,232.0
관악구,성보고등학교,S010000470,1,1,0,1468.1
관악구,신림고등학교,S010000484,1,1,1,103.0
관악구,영락고등학교,S010000499,1,1,1,276.2
관악구,영락의료과학고등학교,S010000611,0,0,1,100.0
관악구,인헌고등학교,S010000519,1,1,1,960.0
광진구,건국대학교사범대학부속고등학교,S010000374,1,1,1,411.1
광진구,광남고등학교,S010000391,1,0,1,204.6
광진구,광양고등학교,S010000395,1,1,1,220.8
광진구,대원고등학교,S010000411,1,1,1,140.0
광진구,대원여자고등학교,S010000412,1,0,0,225.0
광진구,대원외국어고등학교,S010000571,1,0,0,600.0
광진구,동국대학교사범대학부속여자고등학교,S010000433,1,0,1,330.0
광진구,선화예술고등학교,S010000626,0,1,0,283.3
광진구,자양고등학교,S010000521,1,0,1,272.7
구로구,경인고등학교,S010000383,1,1,1,82.0
구로구,고척고등학교,S010000388,1,1,1,154.4
구로구,구로고등학교,S010000398,1,1,1,95.5
구로구,구일고등학교,S010000399,1,1,1,86.8
구로구,구현고등학교,S010005501,1,1,1,1020.3
구로구,덕일전자공업고등학교,S010000582,0,1,0,641.7
구로구,서서울생활과학고등학교,S010000641,0,0,0,200.0
구로구,서울공연예술고등학교,S010005584,0,1,0,170.0
구로구,세종과학고등학교,S010005500,1,0,0,221.8
구로구,신도림고등학교,S010005521,1,1,1,264.6
구로구,예림디자인고등학교,S010000632,1,1,0,300.0
구로구,오류고등학교,S010000508,1,0,1,400.0
구로구,우신고등학교,S010000513,1,1,0,200.0
구로구,유한공업고등학교,S010000598,1,1,1,240.0
금천구,국립전통예술고등학교,S000005401,0,1,0,83.4
금천구,금천고등학교,S010000402,1,1,1,214.0
금천구,독산고등학교,S010000419,1,1,1,163.0
금천구,동일여자고등학교,S010000425,1,1,1,320.0
금천구,동일여자상업고등학교,S010000426,1,1,1,400.0
금천구,문일고등학교,S010000438,0,0,1,147.8
성북구,경동고등학교,S010000377,1,1,1,715.2
성북구,계성고등학교,S010000386,1,1,0,116.0
성북구,고려대학교사범대학부속고등학교,S010000387,1,1,1,500.0
성북구,고명외식고등학교,S010000629,1,1,0,140.0
성북구,대일외국어고등학교,S010000572,0,1,0,740.0
성북구,동구마케팅고등학교,S010000605,0,1,1,600.0
성북구,서울대학교사범대학부설고등학교,S000003561,1,0,1,416.6
성북구,서울도시과학기술고등학교,S010000590,1,1,1,240.0
성북구,석관고등학교,S010000464,1,1,1,264.8
성북구,성신여자고등학교,S010000471,1,1,1,500.0
성북구,용문고등학교,S010000510,1,0,1,203.6
성북구,한성여자고등학교,S010000556,1,1,1,1066.6
성북구,홍익대학교사범대학부속고등학교,S010000563,1,1,1,200.0
송파구,가락고등학교,S010000370,1,1,1,197.0
송파구,문정고등학교,S010005498,1,1,1,650.2
송파구,문현고등학교,S010005524,1,1,1,660.0
송파구,방산고등학교,S010005182,1,1,1,277.0
송파구,배명고등학교,S010000441,1,1,1,700.0
송파구,보성고등학교,S010000446,1,1,1,100.0
송파구,보인고등학교,S010000640,1,1,1,500.0
송파구,서울체육고등학교,S010000461,1,1,1,108.4
송파구,송파공업고등학교,S010000593,1,1,1,416.6
송파구,영동일고등학교,S010000496,1,0,1,506.0
송파구,영파여자고등학교,S010000504,1,0,1,900.0
송파구,오금고등학교,S010000507,1,1,1,87.5
송파구,일신여자상업고등학교,S010000612,1,0,1,960.0
송파구,잠신고등학교,S010000522,1,1,1,350.0
송파구,잠실고등학교,S010000523,1,1,1,1350.0
송파구,잠실여자고등학교,S010000524,1,0,1,315.3
송파구,잠일고등학교,S010005566,1,1,1,100.0
송파구,정신여자고등학교,S010000528,1,1,1,280.0
송파구,창덕여자고등학교,S010000539,1,1,1,97.9
양천구,강서고등학교,S010000372,0,0,1,544.4
양천구,광영고등학교,S010000396,1,1,0,210.7
양천구,광영여자고등학교,S010000397,1,1,1,1030.0
양천구,금옥여자고등학교,S010000401,1,1,1,132.8
양천구,대일관광고등학교,S010000635,0,0,0,417.4
양천구,목동고등학교,S010000490,1,0,0,333.3
양천구,백암고등학교,S010000445,1,1,1,633.4
양천구,서울금융고등학교,S010000642,1,1,1,173.9
양천구,서울영상고등학교,S010000500,1,1,1,307.2
양천구,신목고등학교,S010000485,1,1,1,307.1
양천구,신서고등학교,S010005285,1,1,1,145.2
양천구,양정고등학교,S010000488,1,0,0,404.2
양천구,양천고등학교,S010000489,1,1,1,236.6
양천구,진명여자고등학교,S010000537,1,1,1,80.0
양천구,한가람고등학교,S010000549,1,1,0,450.0
영등포구,관악고등학교,S010000390,1,1,1,480.0
영등포구,대영고등학교,S010000410,1,1,1,200.0
영등포구,선유고등학교,S010005261,1,1,1,208.4
