지역,학교코드,학교명,설립구분,학교특성,설립유형,개교기념일,법정동코드,위도,경도,"남녀공학 
 구분",학급당 학생수,수업 교원 1인당 학생수,학급수,학생수,학생수_남,학생수_여,교사수,교사1인당_주당평균수업시수
강남구,S000003540,국립국악고등학교,국립,특수목적고등학교,단설,19720909,1168010300,37.4762299,127.0514757,남녀공학,29.5,10.8,15,442,68,374,41,16.1
성북구,S000003561,서울대학교사범대학부설고등학교,국립,일반고등학교,부설,19461015,1129013500,37.59472375,127.0381187,남녀공학,28.3,12.3,27,763,371,392,62,15
금천구,S000005401,국립전통예술고등학교,국립,특수목적고등학교,단설,19600513,1154510300,37.446354,126.906414,남녀공학,29.2,4.3,18,525,129,396,122,8.4
송파구,S010000370,가락고등학교,공립,일반고등학교,단설,19890428,1171010400,37.501637,127.116943,남녀공학,25.2,12.8,33,832,370,462,65,17.1
강동구,S010000371,강동고등학교,사립,일반고등학교,단설,19850908,1174010300,37.54989,127.160702,남녀공학,25.6,13.1,24,614,341,273,47,17.5
양천구,S010000372,강서고등학교,사립,일반고등학교,단설,19831101,1147010200,37.5367773,126.8663295,남,27,14.7,36,971,971,0,66,18.8
강남구,S010000373,개포고등학교,공립,일반고등학교,단설,19870512,1168010300,37.48495876,127.0594054,남녀공학,21.4,10.9,30,643,298,345,59,17.1
광진구,S010000374,건국대학교사범대학부속고등학교,사립,일반고등학교,부속,19800515,1121510700,37.5401481,127.0782556,남녀공학,29.8,14.7,36,1074,643,431,73,16.8
강남구,S010000375,경기고등학교,공립,일반고등학교,단설,19001003,1168010500,37.51756598,127.0560739,남,27,13.5,45,1214,1214,0,90,16.9
강남구,S010000376,경기여자고등학교,공립,일반고등학교,단설,19080401,1168010300,37.48688726,127.0655669,녀,26.5,13.6,43,1141,0,1141,84,16.4
성북구,S010000377,경동고등학교,공립,자율고등학교,단설,19400416,1129011300,37.5862,127.014664,남,19.8,9.5,26,515,515,0,54,15.5
