"정보공시 
 학교코드",학교명,동
S000003540,국립국악고등학교,개포4동
S000003561,서울대학교사범대학부설고등학교,종암동
S000005401,국립전통예술고등학교,시흥5동
S010000370,가락고등학교,송파2동
S010000371,강동고등학교,상일동
S010000372,강서고등학교,목4동
S010000373,개포고등학교,개포2동
S010000374,건국대학교사범대학부속고등학교,화양동
S010000375,경기고등학교,삼성동
S010000376,경기여자고등학교,개포2동
S010000377,경동고등학교,삼선동
S010000378,경문고등학교,사당2동
S010000379,경복고등학교,청운효자동
S010000380,경복여자고등학교,등촌3동
S010000381,경성고등학교,연남동
S010000382,경신고등학교,혜화동
S010000383,경인고등학교,고척1동
S010000384,경희고등학교,이문1동
S010000385,경희여자고등학교,회기동
S010000386,계성고등학교,길음1동
S010000387,고려대학교사범대학부속고등학교,정릉3동
S010000388,고척고등학교,고척2동
S010000389,공항고등학교,방화1동
S010000390,관악고등학교,양평1동
S010000391,광남고등학교,광장동
S010000392,광문고등학교,고덕2동
S010000393,광성고등학교,신수동
S010000394,광신고등학교,삼성동
S010000395,광양고등학교,자양2동
S010000396,광영고등학교,신월3동
S010000397,광영여자고등학교,신월3동
S010000398,구로고등학교,구로5동
S010000399,구일고등학교,구로1동
S010000400,압구정고등학교,압구정동
S010000401,금옥여자고등학교,신정3동
S010000402,금천고등학교,시흥5동
S010000403,남강고등학교,난곡동
S010000404,노원고등학교,상계8동
S010000405,단국대학교사범대학부속고등학교,대치1동
S010000406,당곡고등학교,보라매동
S010000407,대광고등학교,용신동
S010000408,대성고등학교,갈현2동
S010000409,대신고등학교,교남동
S010000410,대영고등학교,신길5동
S010000411,대원고등학교,중곡4동
S010000412,대원여자고등학교,중곡4동
S010000413,대일고등학교,등촌2동
S010000414,대진고등학교,하계1동
S010000415,대진여자고등학교,중계2.3동
S010000416,대진디자인고등학교,수서동
S010000417,덕성여자고등학교,삼청동
S010000418,덕원여자고등학교,발산1동
S010000419,독산고등학교,독산3동
S010000420,동국대학교사범대학부속고등학교,장안2동
S010000421,동덕여자고등학교,방배3동
S010000422,동명여자고등학교,대조동
S010000423,동북고등학교,둔촌1동
S010000424,동성고등학교,혜화동
S010000425,동일여자고등학교,시흥2동
S010000426,동일여자상업고등학교,시흥2동
S010000427,동작고등학교,사당5동
S010000428,둔촌고등학교,둔촌2동
S010000429,마포고등학교,등촌3동
S010000430,면목고등학교,면목3.8동
S010000431,명덕고등학교,발산1동
S010000432,명덕여자고등학교,발산1동
S010000433,동국대학교사범대학부속여자고등학교,구의1동
S010000434,명일여자고등학교,명일1동
S010000435,명지고등학교,홍은2동
S010000436,무학여자고등학교,행당1동
S010000437,서울문영여자고등학교,청룡동
S010000438,문일고등학교,시흥1동
S010000439,미림여자고등학교,대학동
S010000440,반포고등학교,반포1동
S010000441,배명고등학교,삼전동
S010000442,배문고등학교,청파동
S010000443,배재고등학교,고덕1동
S010000444,배화여자고등학교,청운효자동
S010000445,백암고등학교,신정3동
S010000446,보성고등학교,오륜동
S010000447,보성여자고등학교,용산2가동
S010000448,삼성고등학교,대학동
S010000449,상계고등학교,상계6.7동
S010000450,상명대학교사범대학부속여자고등학교,부암동
S010000451,상명고등학교,중계2.3동
S010000452,상문고등학교,방배3동
S010000453,상일여자고등학교,상일동
S010000454,서라벌고등학교,중계1동
S010000455,서문여자고등학교,방배4동
S010000456,서울고등학교,서초3동
S010000458,서울미술고등학교,행운동
S010000459,서울세종고등학교,수서동
S010000460,서울여자고등학교,염리동
S010000461,서울체육고등학교,오륜동
S010000463,서초고등학교,서초3동
S010000464,석관고등학교,석관동
S010000465,선덕고등학교,쌍문4동
S010000466,선일여자고등학교,갈현2동
S010000467,선정고등학교,갈현2동
S010000468,성남고등학교,대방동
S010000469,성동고등학교,신당5동
S010000470,성보고등학교,미성동
S010000471,성신여자고등학교,동선동
S010000472,성심여자고등학교,원효로2동
S010000473,세화고등학교,반포2동
S010000474,세화여자고등학교,반포2동
S010000475,송곡고등학교,망우본동
S010000476,송곡여자고등학교,망우본동
S010000477,수도여자고등학교,신대방2동
S010000478,수락고등학교,상계1동
S010000479,숙명여자고등학교,도곡2동
S010000480,숭문고등학교,대흥동
S010000481,숭실고등학교,신수동
S010000482,숭의여자고등학교,대방동
S010000483,신광여자고등학교,청파동
S010000484,신림고등학교,미성동
S010000485,신목고등학교,신정6동
S010000486,신일고등학교,미아동
S010000487,양재고등학교,서초2동
S010000488,양정고등학교,목5동
S010000489,양천고등학교,신정3동
S010000490,목동고등학교,신정7동
S010000491,언남고등학교,양재2동
S010000492,여의도고등학교,여의동
S010000493,여의도여자고등학교,여의동
S010000494,염광고등학교,월계2동
S010000495,영동고등학교,청담동
S010000496,영동일고등학교,잠실3동
S010000497,영등포고등학교,대방동
S010000498,영등포여자고등학교,영등포본동
S010000499,영락고등학교,청룡동
S010000500,서울영상고등학교,신정4동
S010000501,영신고등학교,신길6동
S010000502,영신여자고등학교,중계본동
S010000503,영일고등학교,등촌2동
S010000504,영파여자고등학교,풍납2동
S010000505,영훈고등학교,미아동
S010000506,예일여자고등학교,구산동
S010000507,오금고등학교,오금동
S010000508,오류고등학교,수궁동
S010000509,오산고등학교,보광동
S010000510,용문고등학교,안암동
S010000511,용산고등학교,용산2가동
S010000512,용화여자고등학교,상계10동
S010000513,우신고등학교,수궁동
S010000514,은광여자고등학교,도곡1동
S010000515,은평메디텍고등학교,진관동
S010000516,이화여자고등학교,소공동
S010000517,이화여자대학교사범대학부속이화금란고등학교,신촌동
S010000518,인창고등학교,충현동
S010000519,인헌고등학교,인헌동
S010000521,자양고등학교,자양3동
S010000522,잠신고등학교,잠실2동
S010000523,잠실고등학교,잠실4동
S010000524,잠실여자고등학교,송파2동
S010000525,장충고등학교,신당동
S010000526,장훈고등학교,영등포본동
S010000527,재현고등학교,중계4동
S010000528,정신여자고등학교,잠실7동
S010000529,정의여자고등학교,쌍문4동
S010000530,중경고등학교,이촌1동
S010000531,중동고등학교,일원1동
S010000532,중산고등학교,일원본동
S010000533,중앙고등학교,가회동
S010000534,중앙대학교사범대학부속고등학교,도곡2동
S010000535,중앙여자고등학교,북아현동
S010000536,중화고등학교,중화1동
S010000537,진명여자고등학교,목1동
S010000538,진선여자고등학교,역삼2동
S010000539,창덕여자고등학교,오륜동
S010000540,창동고등학교,창1동
S010000541,창문여자고등학교,미아동
S010000542,청담고등학교,압구정동
S010000543,청량고등학교,청량리동
S010000544,청원고등학교,상계10동
S010000545,청원여자고등학교,상계10동
S010000546,충암고등학교,응암3동
S010000547,태릉고등학교,묵1동
S010000548,풍문고등학교,세곡동
S010000549,한가람고등학교,목5동
S010000550,한강미디어고등학교,양평2동
S010000551,한광고등학교,화곡4동
S010000552,한국삼육고등학교,공릉2동
S010000554,한서고등학교,방화1동
S010000555,한성고등학교,북아현동
S010000556,한성여자고등학교,삼선동
S010000557,한양대학교사범대학부속고등학교,사근동
S010000558,한영고등학교,상일동
S010000559,현대고등학교,압구정동
S010000560,혜성여자고등학교,하계1동
S010000561,혜원여자고등학교,망우3동
S010000562,혜화여자고등학교,수유1동
S010000563,홍익대학교사범대학부속고등학교,성북동
S010000564,홍익대학교사범대학부속여자고등학교,성산1동
S010000565,화곡고등학교,발산1동
S010000566,환일고등학교,중림동
S010000567,휘경여자고등학교,전농2동
S010000568,휘문고등학교,대치2동
S010000569,서울과학고등학교,혜화동
S010000570,한성과학고등학교,천연동
S010000571,대원외국어고등학교,중곡4동
S010000572,대일외국어고등학교,정릉4동
S010000573,명덕외국어고등학교,발산1동
S010000574,서울외국어고등학교,창4동
S010000575,이화여자외국어고등학교,소공동
S010000576,한영외국어고등학교,상일동
S010000577,서울로봇고등학교,일원본동
S010000578,강서공업고등학교,방화3동
S010000579,경기기계공업고등학교,하계1동
S010000580,광운전자공업고등학교,월계1동
S010000581,단국대학교부속소프트웨어고등학교,대치1동
S010000582,덕일전자공업고등학교,오류2동
S010000583,서울디자인고등학교,염리동
S010000584,동양고등학교,가양1동
S010000585,서울방송고등학교,옥수동
S010000586,상일미디어고등학교,상일동
S010000587,미래산업과학고등학교,중계4동
S010000588,서울공업고등학교,대방동
S010000589,서울디지텍고등학교,이태원2동
S010000590,서울도시과학기술고등학교,월곡1동
S010000591,성동공업고등학교,신당동
S010000592,성수공업고등학교,성수2가1동
S010000593,송파공업고등학교,거여1동
S010000594,수도전기공업고등학교,개포2동
S010000595,신진과학기술고등학교,응암1동
S010000596,영등포공업고등학교,가양1동
S010000597,용산철도고등학교,한강로동
S010000598,유한공업고등학교,오류2동
S010000599,서울아이티고등학교,중계2.3동
S010000600,인덕과학기술고등학교,월계2동
S010000601,한양공업고등학교,신당동
S010000602,휘경공업고등학교,전농2동
S010000603,경기상업고등학교,청운효자동
S010000604,서울의료보건고등학교,중림동
