구,학교명,학교코드,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),위도,경도,법정동코드,500미터내_파출소개수,500미터내_CCTV개수
강남구,개포고등학교,S010000373,1,1,1,382.4,37.48495876,127.0594054,1168010300,0,44
강남구,경기고등학교,S010000375,1,0,1,152.4,37.51756598,127.0560739,1168010500,1,48
강남구,경기여자고등학교,S010000376,1,1,1,200.0,37.48688726,127.0655669,1168010300,0,40
강남구,국립국악고등학교,S000003540,0,0,0,217.4,37.4762299,127.0514757,1168010300,1,95
강남구,단국대학교부속소프트웨어고등학교,S010000581,0,1,0,300.0,37.49561668,127.0577673,1168010600,0,87
강남구,단국대학교사범대학부속고등학교,S010000405,1,0,1,673.0,37.495834,127.056676,1168010600,0,87
강남구,대진디자인고등학교,S010000416,1,1,0,213.4,37.49042725,127.0959782,1168011500,0,24
강남구,서울로봇고등학교,S010000577,1,1,1,600.0,37.48068363,127.0843296,1168011400,0,21
강남구,서울세종고등학교,S010000459,1,0,1,750.0,37.490313,127.102365,1168011500,1,38
강남구,수도전기공업고등학교,S010000594,1,0,1,516.6,37.48493808,127.0644798,1168010300,0,46
강남구,숙명여자고등학교,S010000479,1,1,0,600.0,37.49147446,127.0526124,1168011800,0,41
강남구,압구정고등학교,S010000400,1,1,1,40.0,37.530973,127.032648,1168011000,1,30
강남구,영동고등학교,S010000495,0,1,1,99.5,37.520183,127.043348,1168010400,0,86
강남구,은광여자고등학교,S010000514,1,0,1,840.0,37.4884898,127.0331385,1168011800,0,92
강남구,중동고등학교,S010000531,1,1,0,350.0,37.49371459,127.0809111,1168011400,1,48
강남구,중산고등학교,S010000532,1,1,1,350.0,37.48571689,127.0814362,1168011400,0,47
강남구,중앙대학교사범대학부속고등학교,S010000534,1,1,1,83.4,37.49190717,127.0521106,1168011800,0,40
강남구,진선여자고등학교,S010000538,0,1,1,97.0,37.501828,127.046904,1168010100,0,49
강남구,청담고등학교,S010000542,1,1,1,350.0,37.52800121,127.0437006,1168011000,0,48
강남구,풍문고등학교,S010000548,0,1,0,270.0,37.471327,127.0999477,1168011200,0,32
강남구,현대고등학교,S010000559,1,1,1,720.0,37.525398,127.022736,1168011000,1,65
강남구,휘문고등학교,S010000568,0,1,0,81.0,37.505109,127.06142,1168010600,0,77
강동구,강동고등학교,S010000371,1,1,1,82.1,37.54989,127.160702,1174010300,0,17
강동구,강일고등학교,S010005522,1,1,1,82.5,37.56382873,127.1779057,1174011000,0,15
강동구,광문고등학교,S010000392,1,1,1,247.2,37.56046136,127.1585483,1174010200,0,38
강동구,동북고등학교,S010000423,0,1,1,88.4,37.51971854,127.1412227,1174010600,0,8
강동구,둔촌고등학교,S010000428,1,1,1,333.4,37.53143204,127.1438107,1174010600,1,92
강동구,명일여자고등학교,S010000434,1,1,1,200.0,37.54977642,127.1495812,1174010100,0,33
강동구,배재고등학교,S010000443,1,1,1,617.7,37.556089,127.150977,1174010200,0,42
강동구,상일미디어고등학교,S010000586,1,1,1,543.7,37.5484571,127.1670127,1174010300,1,26
강동구,상일여자고등학교,S010000453,1,1,1,83.4,37.54922,127.169635,1174010300,1,41
강동구,서울컨벤션고등학교,S010000606,1,1,1,480.0,37.559207,127.158087,1174010200,1,41
강동구,선사고등학교,S010005563,1,0,1,115.3,37.556548,127.135694,1174010700,0,94
강동구,성덕고등학교,S010000609,1,0,1,663.4,37.550568,127.1399873,1174010900,1,133
강동구,한영고등학교,S010000558,1,1,1,419.0,37.548915,127.158204,1174010300,1,31
강동구,한영외국어고등학교,S010000576,1,0,0,113.3,37.548158,127.157312,1174010300,1,31
강북구,미양고등학교,S010005541,1,1,1,351.0,37.62402,127.012109,1130510100,0,101
강북구,삼각산고등학교,S010005518,1,1,1,1200.0,37.61628709,127.0201069,1130510100,1,92
강북구,성암국제무역고등학교,S010000645,1,1,1,200.0,37.620895,127.024682,1130510100,1,121
강북구,신일고등학교,S010000486,1,0,0,500.0,37.62819,127.027724,1130510100,0,105
강북구,영훈고등학교,S010000505,0,1,1,173.3,37.613509,127.027784,1130510100,2,73
강북구,창문여자고등학교,S010000541,1,1,1,880.0,37.6,127.0,1130510100,1,25
강북구,혜화여자고등학교,S010000562,1,1,1,300.0,37.6312378,127.0130453,1130510300,0,137
강서구,강서공업고등학교,S010000578,1,1,1,416.6,37.57603355,126.8161831,1150010900,1,57
강서구,경복비즈니스고등학교,S010000628,1,1,1,122.2,37.55810444,126.8526522,1150010200,1,62
강서구,경복여자고등학교,S010000380,1,1,0,420.0,37.55782075,126.8505974,1150010200,3,54
강서구,공항고등학교,S010000389,1,1,1,1900.0,37.570122,126.81842,1150010500,0,63
강서구,대일고등학교,S010000413,0,0,1,416.7,37.539175,126.862546,1150010200,3,114
강서구,덕원여자고등학교,S010000418,1,0,1,200.0,37.54862294,126.8290243,1150010600,1,36
강서구,덕원예술고등학교,S010000622,0,1,0,593.4,37.549372,126.828448,1150010600,1,33
강서구,동양고등학교,S010000584,1,1,1,139.2,37.56902103,126.8470796,1150010400,0,18
강서구,등촌고등학교,S010005208,1,1,1,87.0,37.56294567,126.8450457,1150010200,0,33
강서구,마포고등학교,S010000429,1,1,1,100.0,37.55998993,126.8531328,1150010200,1,41
강서구,명덕고등학교,S010000431,0,0,0,1239.4,37.554327,126.83545,1150010600,0,89
강서구,명덕여자고등학교,S010000432,1,1,1,171.0,37.553987,126.834306,1150010600,0,85
강서구,명덕외국어고등학교,S010000573,0,0,0,253.3,37.55424,126.83343,1150010600,0,83
강서구,서울신정고등학교,S010000610,1,1,1,934.6,37.538583,126.856999,1150010300,0,90
강서구,서울항공비즈니스고등학교,S010000646,1,1,1,315.4,37.56921616,126.817042,1150010900,0,75
강서구,세현고등학교,S010005270,1,1,1,562.6,37.560416,126.863464,1150010400,0,30
강서구,수명고등학교,S010005582,1,1,1,562.6,37.54975914,126.8247531,1150010600,1,10
강서구,영등포공업고등학교,S010000596,1,0,0,341.1,37.56983571,126.8500301,1150010400,0,11
강서구,영일고등학교,S010000503,1,1,1,236.7,37.54728582,126.8620613,1150010200,2,94
강서구,한광고등학교,S010000551,1,1,1,1269.2,37.53884398,126.8579401,1150010300,0,89
강서구,한서고등학교,S010000554,1,1,1,829.6,37.5747918,126.8081443,1150010900,0,49
강서구,화곡고등학교,S010000565,1,1,1,84.0,37.5480514,126.831698,1150010600,1,87
강서구,화곡보건경영고등학교,S010000655,0,1,0,79.9,37.549041,126.832793,1150010600,1,90
관악구,광신고등학교,S010000394,0,0,1,680.0,37.46447593,126.9259388,1162010200,0,101
관악구,광신방송예술고등학교,S010000631,0,1,0,337.5,37.465719,126.924699,1162010200,0,131
관악구,구암고등학교,S010005528,1,1,1,113.1,37.492264,126.9475306,1162010100,1,77
관악구,남강고등학교,S010000403,1,1,1,140.6,37.472357,126.924738,1162010200,0,210
관악구,당곡고등학교,S010000406,1,1,1,172.7,37.491688,126.934635,1162010100,1,165
관악구,미림여자고등학교,S010000439,1,0,1,200.0,37.466758,126.933272,1162010200,0,212
관악구,미림여자정보과학고등학교,S010000639,0,1,0,954.5,37.466336,126.932907,1162010200,0,193
관악구,삼성고등학교,S010000448,1,1,1,146.0,37.46913853,126.9436684,1162010200,0,73
관악구,서울관광고등학교,S010000630,1,1,1,543.6,37.488222,126.943542,1162010100,1,196
관악구,서울문영여자고등학교,S010000437,1,1,1,890.0,37.473416,126.951081,1162010100,1,82
관악구,서울미술고등학교,S010000458,1,1,1,433.3,37.477056,126.966983,1162010100,0,161
관악구,서울여자상업고등학교,S010000607,0,1,0,232.0,37.472732,126.950557,1162010100,1,68
관악구,성보고등학교,S010000470,1,1,0,1468.1,37.479815,126.919719,1162010200,1,204
관악구,신림고등학교,S010000484,1,1,1,103.0,37.4783835,126.9166401,1162010200,1,181
관악구,영락고등학교,S010000499,1,1,1,276.2,37.476283,126.944206,1162010100,0,170
관악구,영락의료과학고등학교,S010000611,0,0,1,100.0,37.476564,126.944783,1162010100,0,158
관악구,인헌고등학교,S010000519,1,1,1,960.0,37.47230902,126.9704855,1162010100,0,152
광진구,건국대학교사범대학부속고등학교,S010000374,1,1,1,411.1,37.5401481,127.0782556,1121510700,1,45
광진구,광남고등학교,S010000391,1,0,1,204.6,37.54151337,127.1012125,1121510400,1,25
광진구,광양고등학교,S010000395,1,1,1,220.8,37.529721,127.085285,1121510500,1,43
광진구,대원고등학교,S010000411,1,1,1,140.0,37.563177,127.089494,1121510100,1,45
광진구,대원여자고등학교,S010000412,1,0,0,225.0,37.5624945,127.089438,1121510100,1,46
광진구,대원외국어고등학교,S010000571,1,0,0,600.0,37.563653,127.089124,1121510100,1,46
광진구,동국대학교사범대학부속여자고등학교,S010000433,1,0,1,330.0,37.543183,127.086964,1121510300,1,73
광진구,선화예술고등학교,S010000626,0,1,0,283.3,37.549994,127.087558,1121510200,0,55
광진구,자양고등학교,S010000521,1,0,1,272.7,37.5357534,127.0729905,1121510500,1,47
구로구,경인고등학교,S010000383,1,1,1,82.0,37.49599386,126.8654306,1153010600,0,30
구로구,고척고등학교,S010000388,1,1,1,154.4,37.50804857,126.8498688,1153010600,0,73
구로구,구로고등학교,S010000398,1,1,1,95.5,37.49884153,126.8903093,1153010200,1,85
구로구,구일고등학교,S010000399,1,1,1,86.8,37.49441003,126.8739422,1153010200,0,28
구로구,구현고등학교,S010005501,1,1,1,1020.3,37.50228196,126.874417,1153010200,0,20
구로구,덕일전자공업고등학교,S010000582,0,1,0,641.7,37.49098336,126.8387989,1153010800,1,49
구로구,서서울생활과학고등학교,S010000641,0,0,0,200.0,37.50344,126.827752,1153010900,0,12
구로구,서울공연예술고등학교,S010005584,0,1,0,170.0,37.50008507,126.8321523,1153010900,0,23
구로구,세종과학고등학교,S010005500,1,0,0,221.8,37.4971937,126.8253536,1153010900,0,26
구로구,신도림고등학교,S010005521,1,1,1,264.6,37.5137691,126.8822616,1153010100,0,55
구로구,예림디자인고등학교,S010000632,1,1,0,300.0,37.498706,126.829453,1153010900,0,24
구로구,오류고등학교,S010000508,1,0,1,400.0,37.500202,126.828238,1153010900,0,20
구로구,우신고등학교,S010000513,1,1,0,200.0,37.495324,126.826705,1153010900,0,29
구로구,유한공업고등학교,S010000598,1,1,1,240.0,37.488282,126.823964,1153011200,0,20
금천구,국립전통예술고등학교,S000005401,0,1,0,83.4,37.446354,126.906414,1154510300,0,236
금천구,금천고등학교,S010000402,1,1,1,214.0,37.445022,126.905691,1154510300,0,193
금천구,독산고등학교,S010000419,1,1,1,163.0,37.47621836,126.9109408,1154510200,0,115
금천구,동일여자고등학교,S010000425,1,1,1,320.0,37.45098,126.91627,1154510300,1,81
금천구,동일여자상업고등학교,S010000426,1,1,1,400.0,37.451491,126.917384,1154510300,0,66
금천구,문일고등학교,S010000438,0,0,1,147.8,37.449124,126.898969,1154510300,1,66
성북구,경동고등학교,S010000377,1,1,1,715.2,37.5862,127.014664,1129011300,2,30
성북구,계성고등학교,S010000386,1,1,0,116.0,37.60771,127.02031,1129013400,1,37
성북구,고려대학교사범대학부속고등학교,S010000387,1,1,1,500.0,37.609816,127.001571,1129013300,0,42
성북구,고명외식고등학교,S010000629,1,1,0,140.0,37.59732,127.02019,1129010300,0,59
성북구,대일외국어고등학교,S010000572,0,1,0,740.0,37.61330387,127.0141757,1129013300,0,43
성북구,동구마케팅고등학교,S010000605,0,1,1,600.0,37.5931322,127.0067429,1129010100,0,43
성북구,서울대학교사범대학부설고등학교,S000003561,1,0,1,416.6,37.59472375,127.0381187,1129013500,1,46
성북구,서울도시과학기술고등학교,S010000590,1,1,1,240.0,37.60781127,127.0330426,1129013600,2,76
성북구,석관고등학교,S010000464,1,1,1,264.8,37.60958821,127.0667165,1129013900,0,64
성북구,성신여자고등학교,S010000471,1,1,1,500.0,37.5942881,127.0224064,1129010300,0,53
성북구,용문고등학교,S010000510,1,0,1,203.6,37.5879326,127.0251981,1129012200,0,25
성북구,한성여자고등학교,S010000556,1,1,1,1066.6,37.583201,127.011775,1129011200,1,58
성북구,홍익대학교사범대학부속고등학교,S010000563,1,1,1,200.0,37.594336,127.003863,1129010100,0,41
송파구,가락고등학교,S010000370,1,1,1,197.0,37.501637,127.116943,1171010400,0,30
송파구,문정고등학교,S010005498,1,1,1,650.2,37.48517967,127.1266941,1171010800,1,33
송파구,문현고등학교,S010005524,1,1,1,660.0,37.481244,127.128992,1171010900,1,18
송파구,방산고등학교,S010005182,1,1,1,277.0,37.5083997,127.120472,1171011100,0,41
송파구,배명고등학교,S010000441,1,1,1,700.0,37.4988176,127.0957019,1171010600,1,39
송파구,보성고등학교,S010000446,1,1,1,100.0,37.5194034,127.135273,1171011100,0,17
송파구,보인고등학교,S010000640,1,1,1,500.0,37.496983,127.138291,1171011200,0,32
송파구,서울체육고등학교,S010000461,1,1,1,108.4,37.5217588,127.1305913,1171011100,0,41
송파구,송파공업고등학교,S010000593,1,1,1,416.6,37.491476,127.142528,1171011300,0,33
송파구,영동일고등학교,S010000496,1,0,1,506.0,37.5100019,127.0898685,1171010100,0,23
송파구,영파여자고등학교,S010000504,1,0,1,900.0,37.5321334,127.1198218,1171010300,1,68
송파구,오금고등학교,S010000507,1,1,1,87.5,37.504251,127.129331,1171011200,2,23
송파구,일신여자상업고등학교,S010000612,1,0,1,960.0,37.50197244,127.1145266,1171010400,0,42
송파구,잠신고등학교,S010000522,1,1,1,350.0,37.51470635,127.0882634,1171010100,0,6
송파구,잠실고등학교,S010000523,1,1,1,1350.0,37.51963111,127.1079429,1171010200,0,14
송파구,잠실여자고등학교,S010000524,1,0,1,315.3,37.5023233,127.1130974,1171010400,0,48
송파구,잠일고등학교,S010005566,1,1,1,100.0,37.51443,127.082425,1171010100,1,15
송파구,정신여자고등학교,S010000528,1,1,1,280.0,37.508824,127.071909,1171010100,0,8
송파구,창덕여자고등학교,S010000539,1,1,1,97.9,37.5162418,127.1402751,1171011100,0,7
양천구,강서고등학교,S010000372,0,0,1,544.4,37.5367773,126.8663295,1147010200,1,107
양천구,광영고등학교,S010000396,1,1,0,210.7,37.53719702,126.8232754,1147010300,0,29
양천구,광영여자고등학교,S010000397,1,1,1,1030.0,37.53774,126.82489,1147010300,0,45
양천구,금옥여자고등학교,S010000401,1,1,1,132.8,37.510928,126.844582,1147010100,0,39
양천구,대일관광고등학교,S010000635,0,0,0,417.4,37.61395633,127.0129255,1147010100,1,52
양천구,목동고등학교,S010000490,1,0,0,333.3,37.50921453,126.8601996,1147010100,1,30
양천구,백암고등학교,S010000445,1,1,1,633.4,37.511928,126.8448662,1147010100,0,38
양천구,서울금융고등학교,S010000642,1,1,1,173.9,37.537615,126.825664,1147010300,0,58
양천구,서울영상고등학교,S010000500,1,1,1,307.2,37.52330273,126.8602955,1147010100,2,72
양천구,신목고등학교,S010000485,1,1,1,307.1,37.512763,126.873615,1147010100,0,28
양천구,신서고등학교,S010005285,1,1,1,145.2,37.5238435,126.857988,1147010100,1,95
양천구,양정고등학교,S010000488,1,0,0,404.2,37.5348671,126.8869776,1147010200,0,21
양천구,양천고등학교,S010000489,1,1,1,236.6,37.508667,126.845736,1147010100,0,52
양천구,진명여자고등학교,S010000537,1,1,1,80.0,37.524048,126.8658553,1147010200,1,34
양천구,한가람고등학교,S010000549,1,1,0,450.0,37.5374633,126.8840071,1147010200,0,19
영등포구,관악고등학교,S010000390,1,1,1,480.0,37.52179202,126.8829228,1156012600,0,107
영등포구,대영고등학교,S010000410,1,1,1,200.0,37.5031524,126.9037896,1156013200,0,397
영등포구,선유고등학교,S010005261,1,1,1,208.4,37.5339205,126.8948722,1156012800,0,117
영등포구,여의도고등학교,S010000492,1,1,1,120.7,37.52505011,126.9342187,1156011000,0,28
영등포구,여의도여자고등학교,S010000493,1,1,1,200.0,37.52288819,126.9350894,1156011000,0,30
영등포구,영등포여자고등학교,S010000498,1,0,1,595.1,37.51539016,126.9153554,1156013200,1,228
영등포구,영신고등학교,S010000501,1,1,1,288.9,37.49810112,126.9097387,1156013200,1,203
영등포구,장훈고등학교,S010000526,1,1,0,127.6,37.5133437,126.9162309,1156013200,1,253
영등포구,한강미디어고등학교,S010000550,1,1,1,250.0,37.53929199,126.8972608,1156012800,0,81
용산구,배문고등학교,S010000442,1,0,1,480.0,37.550311,126.964274,1117010800,0,115
용산구,보성여자고등학교,S010000447,1,0,1,316.7,37.54308019,126.9842851,1117010200,0,60
용산구,서울디지텍고등학교,S010000589,1,1,1,151.0,37.5389687,126.9906177,1117013000,0,70
용산구,선린인터넷고등학교,S010000658,1,0,1,193.8,37.54297557,126.9664882,1117011100,2,64
용산구,성심여자고등학교,S010000472,1,1,1,420.0,37.5343665,126.9537281,1117011800,0,72
용산구,신광여자고등학교,S010000483,1,1,1,309.4,37.54290069,126.9694483,1117011100,2,49
용산구,오산고등학교,S010000509,1,1,1,236.6,37.5235144,126.9996084,1117013600,1,61
용산구,용산고등학교,S010000511,1,0,1,927.0,37.54586549,126.9803285,1117010200,1,53
용산구,용산철도고등학교,S010000597,1,1,0,900.0,37.52434312,126.9673563,1117012800,2,25
용산구,중경고등학교,S010000530,1,1,1,124.8,37.5176813,126.9756393,1117012900,1,24
은평구,대성고등학교,S010000408,0,0,0,386.7,37.62316997,126.9093611,1138010400,0,24
은평구,동명생활경영고등학교,S010000638,1,1,0,793.3,37.61421,126.923068,1138010600,0,69
은평구,동명여자고등학교,S010000422,1,1,1,719.4,37.61447741,126.9250155,1138010600,2,58
은평구,선일여자고등학교,S010000466,0,0,1,478.1,37.61914,126.91287,1138010400,1,71
은평구,선일이비즈니스고등학교,S010000608,1,1,0,377.4,37.620336,126.912002,1138010400,1,60
은평구,선정고등학교,S010000467,1,1,1,317.0,37.61870442,126.9090313,1138010400,1,49
은평구,선정국제관광고등학교,S010000616,0,1,0,88.0,37.618819,126.908452,1138010400,0,48
은평구,세명컴퓨터고등학교,S010000659,1,1,1,943.2,37.62777125,126.9232486,1138010300,0,50
은평구,숭실고등학교,S010000481,1,1,0,650.0,37.59287316,126.9024048,1138010900,1,32
은평구,신도고등학교,S010005530,1,1,1,214.6,37.62913413,126.9187475,1138011400,0,42
은평구,신진과학기술고등학교,S010000595,1,0,1,107.9,37.59871321,126.9188349,1138010700,1,73
