학교코드,학교명,지역,동,위도,경도,score_2nd
S010000373,개포고등학교,강남구,개포2동,37.48495876,127.0594054,2.66
S010000376,경기여자고등학교,강남구,개포2동,37.48688726,127.0655669,2.66
S010000594,수도전기공업고등학교,강남구,개포2동,37.48493808,127.0644798,2.66
S010000375,경기고등학교,강남구,삼성동,37.51756598,127.0560739,5.48
S010000394,광신고등학교,관악구,삼성동,37.46447593,126.9259388,5.48
S010000631,광신방송예술고등학교,관악구,삼성동,37.465719,126.924699,2.48
S000003540,국립국악고등학교,강남구,개포4동,37.4762299,127.0514757,2.71
S010000581,단국대학교부속소프트웨어고등학교,강남구,대치1동,37.49561668,127.0577673,6.98
S010000405,단국대학교사범대학부속고등학교,강남구,대치1동,37.495834,127.056676,3.98
S010000416,대진디자인고등학교,강남구,수서동,37.49042725,127.09597820000002,2.27
S010000459,서울세종고등학교,강남구,수서동,37.490313,127.102365,2.27
S010000577,서울로봇고등학교,강남구,일원본동,37.48068363,127.0843296,2.72
S010000532,중산고등학교,강남구,일원본동,37.48571689,127.0814362,2.72
S010000479,숙명여자고등학교,강남구,도곡2동,37.49147446,127.0526124,3.93
S010000534,중앙대학교사범대학부속고등학교,강남구,도곡2동,37.49190717,127.0521106,6.93
S010000400,압구정고등학교,강남구,압구정동,37.530973,127.032648,5.48
S010000542,청담고등학교,강남구,압구정동,37.52800121,127.0437006,8.48
S010000559,현대고등학교,강남구,압구정동,37.525398,127.022736,2.48
S010000495,영동고등학교,강남구,청담동,37.520183,127.043348,5.71
S010000514,은광여자고등학교,강남구,도곡1동,37.4884898,127.0331385,3.34
S010000531,중동고등학교,강남구,일원1동,37.49371459,127.0809111,2.93
S010000538,진선여자고등학교,강남구,역삼2동,37.501828,127.046904,3.94
S010000548,풍문고등학교,강남구,세곡동,37.471327,127.0999477,2.31
S010000568,휘문고등학교,강남구,대치2동,37.505109,127.06142,9.82
S010000371,강동고등학교,강동구,상일동,37.54989000000001,127.160702,2.24
S010000586,상일미디어고등학교,강동구,상일동,37.5484571,127.16701270000002,2.24
S010000453,상일여자고등학교,강동구,상일동,37.54922,127.169635,2.24
S010000558,한영고등학교,강동구,상일동,37.548915,127.158204,5.24
S010000576,한영외국어고등학교,강동구,상일동,37.548158,127.157312,2.24
S010005522,강일고등학교,강동구,강일동,37.56382873,127.1779057,5.88
S010000392,광문고등학교,강동구,고덕2동,37.56046136,127.1585483,5.52
S010000606,서울컨벤션고등학교,강동구,고덕2동,37.559207,127.158087,5.52
S010000423,동북고등학교,강동구,둔촌1동,37.51971854,127.1412227,5.02
S010000428,둔촌고등학교,강동구,둔촌2동,37.53143204,127.1438107,3.64
S010000434,명일여자고등학교,강동구,명일1동,37.54977642,127.1495812,6.95
S010000609,성덕고등학교,강동구,명일1동,37.550568,127.1399873,6.95
S010000443,배재고등학교,강동구,고덕1동,37.556089,127.150977,2.98
S010005563,선사고등학교,강동구,암사3동,37.556548,127.135694,5.45
S010005541,미양고등학교,강북구,미아동,37.62402,127.012109,6.05
S010005518,삼각산고등학교,강북구,미아동,37.61628709,127.02010690000002,6.05
S010000645,성암국제무역고등학교,강북구,미아동,37.620895,127.024682,3.05
S010000486,신일고등학교,강북구,미아동,37.62819,127.027724,6.05
S010000505,영훈고등학교,강북구,미아동,37.613509,127.027784,3.05
S010000541,창문여자고등학교,강북구,미아동,37.6,127.0,6.05
S010000562,혜화여자고등학교,강북구,수유1동,37.6312378,127.0130453,2.55
S010000578,강서공업고등학교,강서구,방화3동,37.57603355,126.8161831,8.18
S010000628,경복비즈니스고등학교,강서구,등촌3동,37.55810444,126.8526522,3.76
S010000380,경복여자고등학교,강서구,등촌3동,37.55782075,126.8505974,3.76
S010005208,등촌고등학교,강서구,등촌3동,37.56294567,126.8450457,6.76
S010000429,마포고등학교,강서구,등촌3동,37.55998993,126.8531328,6.76
S010000389,공항고등학교,강서구,방화1동,37.570122,126.81842,9.88
S010000646,서울항공비즈니스고등학교,강서구,방화1동,37.56921616,126.817042,6.88
S010000554,한서고등학교,강서구,방화1동,37.57479179999999,126.8081443,3.88
S010000413,대일고등학교,강서구,등촌2동,37.539175,126.862546,3.31
S010000503,영일고등학교,강서구,등촌2동,37.54728582,126.8620613,3.31
S010000418,덕원여자고등학교,강서구,발산1동,37.54862294,126.8290243,3.12
S010000622,덕원예술고등학교,강서구,발산1동,37.549372,126.828448,3.12
S010000431,명덕고등학교,강서구,발산1동,37.554327,126.83545,3.12
S010000432,명덕여자고등학교,강서구,발산1동,37.553987,126.834306,3.12
S010000573,명덕외국어고등학교,강서구,발산1동,37.55424,126.83343,3.12
S010005582,수명고등학교,강서구,발산1동,37.54975914,126.8247531,3.12
S010000565,화곡고등학교,강서구,발산1동,37.5480514,126.831698,3.12
S010000655,화곡보건경영고등학교,강서구,발산1동,37.549041,126.832793,3.12
S010000584,동양고등학교,강서구,가양1동,37.56902103,126.8470796,2.17
S010000596,영등포공업고등학교,강서구,가양1동,37.56983571,126.8500301,5.17
S010000610,서울신정고등학교,강서구,화곡4동,37.538583,126.856999,3.17
S010000551,한광고등학교,강서구,화곡4동,37.53884398,126.85794009999998,3.17
S010005270,세현고등학교,강서구,가양3동,37.560416,126.863464,5.57
S010005528,구암고등학교,관악구,성현동,37.492264,126.9475306,3.95
S010000403,남강고등학교,관악구,난곡동,37.472357,126.924738,6.29
S010000406,당곡고등학교,관악구,보라매동,37.491688,126.934635,3.35
S010000439,미림여자고등학교,관악구,대학동,37.466758,126.933272,2.05
S010000639,미림여자정보과학고등학교,관악구,대학동,37.466336,126.932907,2.05
S010000448,삼성고등학교,관악구,대학동,37.46913853,126.9436684,2.05
S010000630,서울관광고등학교,관악구,은천동,37.488222,126.943542,3.81
