학교명,구,score_2nd
영일고등학교,강서구,10.0
경복여자고등학교,강서구,10.0
강서공업고등학교,강서구,10.0
경복비즈니스고등학교,강서구,10.0
수명고등학교,강서구,10.0
마포고등학교,강서구,10.0
화곡고등학교,강서구,10.0
문정고등학교,송파구,9.89
문현고등학교,송파구,9.89
잠일고등학교,송파구,9.89
오금고등학교,송파구,9.89
배명고등학교,송파구,9.89
진명여자고등학교,양천구,9.79
신서고등학교,양천구,9.79
서울영상고등학교,양천구,9.79
혜성여자고등학교,노원구,9.68
인덕과학기술고등학교,노원구,9.68
미래산업과학고등학교,노원구,9.68
염광고등학교,노원구,9.68
상명고등학교,노원구,9.68
대진여자고등학교,노원구,9.68
상계고등학교,노원구,9.68
수락고등학교,노원구,9.68
자운고등학교,도봉구,9.58
누원고등학교,도봉구,9.58
선덕고등학교,도봉구,9.58
세그루패션디자인고등학교,도봉구,9.58
창동고등학교,도봉구,9.58
둔촌고등학교,강동구,9.47
상일미디어고등학교,강동구,9.47
상일여자고등학교,강동구,9.47
서울컨벤션고등학교,강동구,9.47
한영고등학교,강동구,9.47
가재울고등학교,서대문구,9.41
현대고등학교,강남구,9.37
중동고등학교,강남구,9.37
압구정고등학교,강남구,9.37
서초고등학교,서초구,9.26
상문고등학교,서초구,9.26
대원고등학교,광진구,9.16
광양고등학교,광진구,9.16
건국대학교사범대학부속고등학교,광진구,9.16
한세사이버보안고등학교,마포구,9.06
구로고등학교,구로구,9.05
동명여자고등학교,은평구,8.95
선일이비즈니스고등학교,은평구,8.95
선정고등학교,은평구,8.95
숭실고등학교,은평구,8.95
은평메디텍고등학교,은평구,8.95
혜원여자고등학교,중랑구,8.84
송곡여자고등학교,중랑구,8.84
영등포고등학교,동작구,8.82
수도여자고등학교,동작구,8.82
서울공업고등학교,동작구,8.82
한성여자고등학교,성북구,8.74
서울도시과학기술고등학교,성북구,8.74
계성고등학교,성북구,8.74
경동고등학교,성북구,8.74
한양대학교사범대학부속고등학교,성동구,8.63
서울방송고등학교,성동구,8.63
무학여자고등학교,성동구,8.63
덕수고등학교,성동구,8.63
서울문영여자고등학교,관악구,8.59
구암고등학교,관악구,8.59
삼각산고등학교,강북구,8.53
성암국제무역고등학교,강북구,8.53
창문여자고등학교,강북구,8.53
