학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
국립국악고등학교,15.0,442.0,29.466666666666665,47.0,강남구,"2,361",0.0,5.0,강남구,6.44,5.38,6.27,5.84
개포고등학교,30.0,643.0,21.433333333333334,72.0,강남구,"2,361",10.0,11.0,강남구,6.44,5.38,6.27,5.84
경기고등학교,45.0,1214.0,26.977777777777778,101.0,강남구,"2,361",36.0,27.0,강남구,6.44,5.38,6.27,5.84
경기여자고등학교,43.0,1141.0,26.53488372093023,98.0,강남구,"2,361",21.0,18.0,강남구,6.44,5.38,6.27,5.84
서울로봇고등학교,24.0,460.0,19.166666666666668,76.0,강남구,"2,361",0.0,5.0,강남구,6.44,5.38,6.27,5.84
압구정고등학교,30.0,629.0,20.966666666666665,70.0,강남구,"2,361",42.0,28.0,강남구,6.44,5.38,6.27,5.84
청담고등학교,33.0,603.0,18.272727272727273,78.0,강남구,"2,361",26.0,17.0,강남구,6.44,5.38,6.27,5.84
단국공업고등학교,15.0,236.0,15.733333333333333,37.0,강남구,"2,361",,,강남구,6.44,5.38,6.27,5.84
단국대학교사범대학부속고등학교,39.0,1103.0,28.28205128205128,78.0,강남구,"2,361",36.0,16.0,강남구,6.44,5.38,6.27,5.84
대진디자인고등학교,27.0,662.0,24.51851851851852,70.0,강남구,"2,361",12.0,25.0,강남구,6.44,5.38,6.27,5.84
서울세종고등학교,27.0,596.0,22.074074074074073,61.0,강남구,"2,361",10.0,24.0,강남구,6.44,5.38,6.27,5.84
수도전기공업고등학교,30.0,594.0,19.8,90.0,강남구,"2,361",0.0,4.0,강남구,6.44,5.38,6.27,5.84
숙명여자고등학교,43.0,1239.0,28.813953488372093,95.0,강남구,"2,361",22.0,18.0,강남구,6.44,5.38,6.27,5.84
영동고등학교,39.0,883.0,22.641025641025642,80.0,강남구,"2,361",16.0,8.0,강남구,6.44,5.38,6.27,5.84
은광여자고등학교,30.0,754.0,25.133333333333333,64.0,강남구,"2,361",9.0,9.0,강남구,6.44,5.38,6.27,5.84
중동고등학교,36.0,1164.0,32.333333333333336,76.0,강남구,"2,361",32.0,26.0,강남구,6.44,5.38,6.27,5.84
중산고등학교,36.0,880.0,24.444444444444443,76.0,강남구,"2,361",14.0,21.0,강남구,6.44,5.38,6.27,5.84
중앙대학교사범대학부속고등학교,36.0,1008.0,28.0,79.0,강남구,"2,361",36.0,28.0,강남구,6.44,5.38,6.27,5.84
진선여자고등학교,33.0,979.0,29.666666666666668,71.0,강남구,"2,361",20.0,13.0,강남구,6.44,5.38,6.27,5.84
풍문고등학교,36.0,820.0,22.77777777777778,74.0,강남구,"2,361",1.0,0.0,강남구,6.44,5.38,6.27,5.84
현대고등학교,36.0,1145.0,31.805555555555557,76.0,강남구,"2,361",53.0,30.0,강남구,6.44,5.38,6.27,5.84
휘문고등학교,42.0,1319.0,31.404761904761905,78.0,강남구,"2,361",11.0,0.0,강남구,6.44,5.38,6.27,5.84
국립전통예술고등학교,18.0,525.0,29.166666666666668,44.0,금천구,212,0.0,7.0,금천구,6.32,5.15,5.83,5.67
금천고등학교,33.0,748.0,22.666666666666668,77.0,금천구,212,22.0,16.0,금천구,6.32,5.15,5.83,5.67
독산고등학교,27.0,603.0,22.333333333333332,64.0,금천구,212,18.0,4.0,금천구,6.32,5.15,5.83,5.67
동일여자고등학교,32.0,664.0,20.75,74.0,금천구,212,11.0,18.0,금천구,6.32,5.15,5.83,5.67
동일여자상업고등학교,36.0,810.0,22.5,78.0,금천구,212,8.0,36.0,금천구,6.32,5.15,5.83,5.67
문일고등학교,36.0,942.0,26.166666666666668,76.0,금천구,212,17.0,6.0,금천구,6.32,5.15,5.83,5.67
서울대학교사범대학부설고등학교,27.0,763.0,28.25925925925926,71.0,성북구,439,16.0,8.0,성북구,6.45,5.23,6.06,5.6
경동고등학교,26.0,515.0,19.807692307692307,61.0,성북구,439,20.0,17.0,성북구,6.45,5.23,6.06,5.6
서울도시과학기술고등학교,21.0,404.0,19.238095238095237,66.0,성북구,439,0.0,6.0,성북구,6.45,5.23,6.06,5.6
석관고등학교,27.0,717.0,26.555555555555557,68.0,성북구,439,22.0,11.0,성북구,6.45,5.23,6.06,5.6
계성고등학교,33.0,921.0,27.90909090909091,73.0,성북구,439,31.0,27.0,성북구,6.45,5.23,6.06,5.6
고려대학교사범대학부속고등학교,27.0,774.0,28.666666666666668,64.0,성북구,439,20.0,12.0,성북구,6.45,5.23,6.06,5.6
고명경영고등학교,18.0,323.0,17.944444444444443,41.0,성북구,439,,,성북구,6.45,5.23,6.06,5.6
대일외국어고등학교,30.0,751.0,25.033333333333335,63.0,성북구,439,2.0,7.0,성북구,6.45,5.23,6.06,5.6
동구마케팅고등학교,30.0,703.0,23.433333333333334,66.0,성북구,439,1.0,12.0,성북구,6.45,5.23,6.06,5.6
성신여자고등학교,30.0,815.0,27.166666666666668,63.0,성북구,439,12.0,14.0,성북구,6.45,5.23,6.06,5.6
용문고등학교,33.0,958.0,29.03030303030303,72.0,성북구,439,80.0,32.0,성북구,6.45,5.23,6.06,5.6
한성여자고등학교,27.0,757.0,28.037037037037038,64.0,성북구,439,18.0,22.0,성북구,6.45,5.23,6.06,5.6
홍익대학교사범대학부속고등학교,19.0,331.0,17.42105263157895,44.0,성북구,439,4.0,8.0,성북구,6.45,5.23,6.06,5.6
가락고등학교,33.0,832.0,25.21212121212121,77.0,송파구,"1,076",23.0,12.0,송파구,6.48,5.39,6.07,5.87
문정고등학교,30.0,771.0,25.7,64.0,송파구,"1,076",27.0,21.0,송파구,6.48,5.39,6.07,5.87
문현고등학교,27.0,715.0,26.48148148148148,61.0,송파구,"1,076",29.0,5.0,송파구,6.48,5.39,6.07,5.87
방산고등학교,36.0,862.0,23.944444444444443,80.0,송파구,"1,076",17.0,24.0,송파구,6.48,5.39,6.07,5.87
서울체육고등학교,12.0,408.0,34.0,45.0,송파구,"1,076",13.0,15.0,송파구,6.48,5.39,6.07,5.87
송파공업고등학교,27.0,557.0,20.62962962962963,74.0,송파구,"1,076",10.0,24.0,송파구,6.48,5.39,6.07,5.87
오금고등학교,33.0,976.0,29.575757575757574,77.0,송파구,"1,076",22.0,3.0,송파구,6.48,5.39,6.07,5.87
잠신고등학교,36.0,734.0,20.38888888888889,83.0,송파구,"1,076",31.0,21.0,송파구,6.48,5.39,6.07,5.87
잠실고등학교,30.0,641.0,21.366666666666667,70.0,송파구,"1,076",8.0,11.0,송파구,6.48,5.39,6.07,5.87
잠일고등학교,24.0,399.0,16.625,55.0,송파구,"1,076",19.0,24.0,송파구,6.48,5.39,6.07,5.87
창덕여자고등학교,36.0,540.0,15.0,85.0,송파구,"1,076",8.0,12.0,송파구,6.48,5.39,6.07,5.87
배명고등학교,33.0,893.0,27.060606060606062,72.0,송파구,"1,076",28.0,38.0,송파구,6.48,5.39,6.07,5.87
보성고등학교,33.0,977.0,29.606060606060606,72.0,송파구,"1,076",21.0,12.0,송파구,6.48,5.39,6.07,5.87
보인고등학교,36.0,1116.0,31.0,73.0,송파구,"1,076",19.0,51.0,송파구,6.48,5.39,6.07,5.87
영동일고등학교,36.0,1033.0,28.694444444444443,79.0,송파구,"1,076",28.0,13.0,송파구,6.48,5.39,6.07,5.87
영파여자고등학교,38.0,891.0,23.44736842105263,78.0,송파구,"1,076",5.0,0.0,송파구,6.48,5.39,6.07,5.87
일신여자상업고등학교,43.0,999.0,23.232558139534884,91.0,송파구,"1,076",11.0,13.0,송파구,6.48,5.39,6.07,5.87
잠실여자고등학교,39.0,938.0,24.05128205128205,79.0,송파구,"1,076",12.0,38.0,송파구,6.48,5.39,6.07,5.87
정신여자고등학교,36.0,1079.0,29.97222222222222,79.0,송파구,"1,076",14.0,10.0,송파구,6.48,5.39,6.07,5.87
가재울고등학교,27.0,693.0,25.666666666666668,65.0,서대문구,348,28.0,19.0,서대문구,6.21,5.56,5.94,5.7
한성과학고등학교,20.0,379.0,18.95,72.0,서대문구,348,0.0,3.0,서대문구,6.21,5.56,5.94,5.7
명지고등학교,48.0,1435.0,29.895833333333332,101.0,서대문구,348,42.0,19.0,서대문구,6.21,5.56,5.94,5.7
이화여자대학교사범대학부속이화금란고등학교,36.0,1132.0,31.444444444444443,81.0,서대문구,348,65.0,62.0,서대문구,6.21,5.56,5.94,5.7
인창고등학교,24.0,657.0,27.375,55.0,서대문구,348,23.0,30.0,서대문구,6.21,5.56,5.94,5.7
중앙여자고등학교,23.0,561.0,24.391304347826086,56.0,서대문구,348,21.0,12.0,서대문구,6.21,5.56,5.94,5.7
