학교명,학급수,학생수,학급당평균학생수,교원수,자치구,전입학생수,전출학생수,주거환경,경제환경,사회환경,교육환경,청소년유동인구,한부모_가구수,한부모_가구원수,저소득,중간,고소득
국립국악고등학교,15.0,442.0,29.466666666666665,47.0,강남구,0.0,5.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
개포고등학교,30.0,643.0,21.433333333333334,72.0,강남구,10.0,11.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
경기고등학교,45.0,1214.0,26.977777777777774,101.0,강남구,36.0,27.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
경기여자고등학교,43.0,1141.0,26.53488372093023,98.0,강남구,21.0,18.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
서울로봇고등학교,24.0,460.0,19.166666666666668,76.0,강남구,0.0,5.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
압구정고등학교,30.0,629.0,20.966666666666665,70.0,강남구,42.0,28.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
청담고등학교,33.0,603.0,18.272727272727277,78.0,강남구,26.0,17.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
단국공업고등학교,15.0,236.0,15.733333333333333,37.0,강남구,,,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
단국대학교사범대학부속고등학교,39.0,1103.0,28.28205128205128,78.0,강남구,36.0,16.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
대진디자인고등학교,27.0,662.0,24.51851851851852,70.0,강남구,12.0,25.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
서울세종고등학교,27.0,596.0,22.074074074074076,61.0,강남구,10.0,24.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
수도전기공업고등학교,30.0,594.0,19.8,90.0,강남구,0.0,4.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
숙명여자고등학교,43.0,1239.0,28.813953488372093,95.0,강남구,22.0,18.0,6.44,5.38,6.27,5.84,45613.514389405755,973,"2,294",20.4,44.9,34.7
