자치구,학생수,학업중단자수,학업중단율
종로구,"9,046",190,2.1
중구,"7,058",136,1.93
용산구,"5,996",139,2.32
성동구,"5,246",117,2.23
광진구,"7,641",119,1.56
동대문구,"7,349",145,1.97
중랑구,"6,563",87,1.33
성북구,"8,732",108,1.24
강북구,"5,542",76,1.37
도봉구,"6,954",123,1.77
노원구,"21,313",369,1.73
은평구,"13,212",247,1.87
서대문구,"5,429",100,1.84
마포구,"6,161",99,1.61
양천구,"13,025",213,1.64
강서구,"16,016",309,1.93
구로구,"9,634",206,2.14
금천구,"4,292",71,1.65
영등포구,"6,145",99,1.61
동작구,"6,165",92,1.49
관악구,"9,676",195,2.02
서초구,"10,363",214,2.07
강남구,"18,514",405,2.19
송파구,"15,361",263,1.71
강동구,"11,256",196,1.74
