기간	대분류	분류	주거환경	경제환경	사회환경	교육환경
2011	서울시	서울시	6.1	5.18	5.53	5.28
2011	성별	남자	6.16	5.36	5.64	5.37
2011	성별	여자	5.88	4.54	5.12	4.94
2011	연령별	20대 이하	5.5	4.29	4.7	4.8
2011	연령별	30대	6.03	5.24	5.55	5.19
2011	연령별	40대	6.09	5.29	5.6	5.31
2011	연령별	50대	6.25	5.42	5.68	5.48
2011	연령별	60대 이상	6.23	5.08	5.56	5.3
2011	학력별	중졸 이하	6.04	4.61	5.32	5.04
2011	학력별	고졸 이하	6.03	5.1	5.39	5.26
2011	학력별	대졸이하	6.16	5.37	5.66	5.36
2011	학력별	대학원 이상	6.12	5.64	5.78	5.27
2011	주택형태	단독주택	5.84	4.93	5.3	5.16
2011	주택형태	아파트	6.42	5.46	5.8	5.45
2011	주택형태	다세대주택	5.91	5.11	5.39	5.16
2011	주택형태	연립/기타	6.1	5.12	5.51	5.11
2011	입주형태	자가	6.43	5.73	5.93	5.61
2011	입주형태	전세	6.17	5.5	5.82	5.46
2011	입주형태	월세/기타	5.48	3.91	4.51	4.51
2011	가구원수	1인	5.67	4.26	4.87	4.76
2011	가구원수	2인	6.22	5.23	5.67	5.42
2011	가구원수	3인	6.33	5.61	5.93	5.56
2011	가구원수	4인	6.3	5.7	5.78	5.58
2011	가구원수	5인 이상	5.85	5.13	5.24	4.77
2011	소득	100 만원 미만	5.94	3.76	4.83	4.89
2011	소득	100-200만 미만	5.75	4.57	5.01	4.91
2011	소득	200-300만 미만	5.82	4.79	5.11	4.91
2011	소득	300-400만 미만	6.15	5.35	5.61	5.31
2011	소득	400-500만 미만	6.36	5.63	5.87	5.58
2011	소득	500만원 이상	6.41	5.95	6.18	5.75
2011	지역대분류	도심권	5.75	5.04	5.36	5.2
2011	지역대분류	동북권	5.92	4.9	5.37	5.1
2011	지역대분류	서북권	5.94	5.15	5.59	5.3
2011	지역대분류	서남권	6.11	5.14	5.52	5.19
2011	지역대분류	동남권	6.55	5.75	5.78	5.68
2011	종로구	종로구	6	4.93	5.57	5.03
2011	중구	중구	5.52	5.5	5.47	5.19
2011	용산구	용산구	5.7	4.88	5.15	5.31
2011	성동구	성동구	5.55	5.19	5.79	5.54
2011	광진구	광진구	6.24	4.6	4.94	5.14
2011	동대문구	동대문구	5.81	4.73	5.37	4.77
2011	중랑구	중랑구	5.79	4.54	5.43	5.39
2011	성북구	성북구	5.57	5.4	5.24	4.87
