기간	자치구	가구수	가구원수
2019	종로구	367	855
2019	중구	365	815
2019	용산구	621	1,333
2019	성동구	804	1,843
2019	광진구	1,191	2,818
2019	동대문구	1,157	2,709
2019	중랑구	2,295	5,413
2019	성북구	1,433	3,348
2019	강북구	1,962	4,573
2019	도봉구	1,664	3,927
2019	노원구	2,629	6,003
2019	은평구	2,114	4,967
2019	서대문구	1,036	2,411
2019	마포구	905	2,073
2019	양천구	1,536	3,680
2019	강서구	2,198	5,166
2019	구로구	1,308	2,921
2019	금천구	1,265	2,874
2019	영등포구	645	1,468
2019	동작구	994	2,292
2019	관악구	1,475	3,404
2019	서초구	547	1,302
2019	강남구	973	2,294
2019	송파구	1,663	3,980
2019	강동구	1,260	2,988
