청,서,지구대파출소,X좌표,Y좌표
서울청,서울강남경찰서,논현1파출소,127.0293161,37.5137912
서울청,서울강남경찰서,논현2파출소,127.0338754,37.5152199
서울청,서울강남경찰서,삼성1파출소,127.0604399,37.514852
서울청,서울강남경찰서,삼성2파출소,127.0480628,37.5112893
서울청,서울강남경찰서,서울강남경찰서,127.0671769,37.5090362
서울청,서울강남경찰서,신사파출소,127.0241375,37.5184333
서울청,서울강남경찰서,압구정파출소,127.0356169,37.5293162
서울청,서울강남경찰서,역삼지구대,127.040992,37.5084025
서울청,서울강남경찰서,청담파출소,127.0541778,37.5207511
서울청,서울강동경찰서,강일파출소,127.1732447,37.5647657
서울청,서울강동경찰서,광나루한강순찰대,127.1183142,37.5459662
서울청,서울강동경찰서,길동지구대,127.1392008,37.5294547
서울청,서울강동경찰서,둔촌파출소,127.1457436,37.5253579
서울청,서울강동경찰서,명일파출소,127.156067,37.55364
서울청,서울강동경찰서,상일파출소,127.1673955,37.5470931
서울청,서울강동경찰서,서울강동경찰서,127.1269713,37.5286036
서울청,서울강동경찰서,성내지구대,127.1269239,37.5284682
서울청,서울강동경찰서,암사지구대,127.1408238,37.5549615
서울청,서울강동경찰서,천호지구대,127.120725,37.5425667
서울청,서울강북경찰서,미아지구대,127.028275,37.6201487
서울청,서울강북경찰서,번3파출소,127.0481601,37.6236293
서울청,서울강북경찰서,번동파출소,127.0326,37.6359904
서울청,서울강북경찰서,서울강북경찰서,127.0273396,37.6374119
서울청,서울강북경찰서,솔샘지구대,127.030425,37.6163237
서울청,서울강북경찰서,수유1파출소,127.017613,37.630857
서울청,서울강북경찰서,수유2파출소,127.0170967,37.6409313
서울청,서울강북경찰서,수유3파출소,127.0266,37.6443571
서울청,서울강북경찰서,인수파출소,127.019253,37.6353036
서울청,서울강서경찰서,가양지구대,126.8500673,37.5592983
서울청,서울강서경찰서,곰달래지구대,126.8631866,37.5328992
서울청,서울강서경찰서,공항지구대,126.8082381,37.562291
서울청,서울강서경찰서,까치산지구대,126.8457979,37.5293295
서울청,서울강서경찰서,등촌2파출소,126.8619084,37.544786
서울청,서울강서경찰서,발산지구대,126.8259875,37.5494417
서울청,서울강서경찰서,방화3파출소,126.814714,37.5798622
서울청,서울강서경찰서,서울강서경찰서,126.850017,37.5513343
서울청,서울강서경찰서,염창지구대,126.867442,37.5518908
서울청,서울강서경찰서,화곡3파출소,126.835225,37.5446917
서울청,서울강서경찰서,화곡지구대,126.8500153,37.551663
서울청,서울관악경찰서,관악산지구대,126.9352299,37.473728
서울청,서울관악경찰서,구암지구대,126.9449269,37.4871787
서울청,서울관악경찰서,낙성대지구대,126.9594526,37.478252
서울청,서울관악경찰서,난우파출소,126.9192378,37.4611084
서울청,서울관악경찰서,남현파출소,126.9778224,37.4746955
서울청,서울관악경찰서,당곡지구대,126.9344064,37.4859702
서울청,서울관악경찰서,미성파출소,126.9156425,37.4799125
서울청,서울관악경찰서,서울관악경찰서,126.9510663,37.4745177
서울청,서울관악경찰서,신림지구대,126.9333345,37.4840001
서울청,서울관악경찰서,신사파출소,126.9140674,37.4872365
서울청,서울광진경찰서,광나루지구대,127.1033349,37.544457
서울청,서울광진경찰서,구의파출소,127.0941365,37.5483228
서울청,서울광진경찰서,뚝섬한강순찰대,127.0614055,37.5316728
서울청,서울광진경찰서,서울광진경찰서,127.0838493,37.5429152
서울청,서울광진경찰서,자양1파출소,127.0769295,37.5366517
서울청,서울광진경찰서,자양4파출소,127.063639,37.5351826
서울청,서울광진경찰서,자양파출소,127.0846283,37.5288198
서울청,서울광진경찰서,중곡1파출소,127.082885,37.5637304
서울청,서울광진경찰서,중곡2파출소,127.0814064,37.5601963
서울청,서울광진경찰서,중곡3파출소,127.0801623,37.5688179
서울청,서울광진경찰서,중곡4파출소,127.0871444,37.5652997
서울청,서울광진경찰서,화양지구대,127.0713254,37.5466395
서울청,서울구로경찰서,가리봉파출소,126.8928072,37.4791289
서울청,서울구로경찰서,개봉지구대,126.8564203,37.4917316
서울청,서울구로경찰서,고척지구대,126.858325,37.5065333
서울청,서울구로경찰서,구로3파출소,126.8913125,37.4866929
서울청,서울구로경찰서,구일지구대,126.890725,37.4893096
서울청,서울구로경찰서,서울구로경찰서,126.8867298,37.4948934
