학교명,자치구,score_2nd
국립국악고등학교,강남구,4.67
개포고등학교,강남구,4.44
경기고등학교,강남구,1.7
경기여자고등학교,강남구,1.56
서울로봇고등학교,강남구,4.04
압구정고등학교,강남구,4.47
청담고등학교,강남구,4.15
단국대학교부속소프트웨어고등학교,강남구,7.55
단국대학교사범대학부속고등학교,강남구,2.62
대진디자인고등학교,강남구,4.72
서울세종고등학교,강남구,5.91
수도전기공업고등학교,강남구,4.07
숙명여자고등학교,강남구,2.08
영동고등학교,강남구,1.38
은광여자고등학교,강남구,5.71
중동고등학교,강남구,2.82
중산고등학교,강남구,1.54
중앙대학교사범대학부속고등학교,강남구,1.97
진선여자고등학교,강남구,2.46
풍문고등학교,강남구,5.49
현대고등학교,강남구,2.78
휘문고등학교,강남구,2.91
국립전통예술고등학교,금천구,5.76
금천고등학교,금천구,4.82
독산고등학교,금천구,4.68
동일여자고등학교,금천구,4.46
동일여자상업고등학교,금천구,1.22
문일고등학교,금천구,1.83
서울대학교사범대학부설고등학교,성북구,5.28
경동고등학교,성북구,4.3
서울도시과학기술고등학교,성북구,4.05
석관고등학교,성북구,5.18
계성고등학교,성북구,1.92
고려대학교사범대학부속고등학교,성북구,5.81
고명외식고등학교,성북구,7.91
대일외국어고등학교,성북구,5.75
동구마케팅고등학교,성북구,5.22
성신여자고등학교,성북구,5.91
용문고등학교,성북구,2.21
한성여자고등학교,성북구,5.72
홍익대학교사범대학부속고등학교,성북구,4.12
가락고등학교,송파구,5.3
문정고등학교,송파구,5.8
문현고등학교,송파구,5.69
방산고등학교,송파구,1.29
서울체육고등학교,송파구,4.51
송파공업고등학교,송파구,4.13
오금고등학교,송파구,1.94
잠신고등학교,송파구,4.41
잠실고등학교,송파구,4.56
잠일고등학교,송파구,4.11
창덕여자고등학교,송파구,4.06
배명고등학교,송파구,1.85
보성고등학교,송파구,2.24
보인고등학교,송파구,2.8
영동일고등학교,송파구,2.1
영파여자고등학교,송파구,5.63
일신여자상업고등학교,송파구,1.32
잠실여자고등학교,송파구,1.67
정신여자고등학교,송파구,2.37
가재울고등학교,서대문구,5.23
한성과학고등학교,서대문구,4.02
명지고등학교,서대문구,2.66
이화여자대학교사범대학부속이화금란고등학교,서대문구,2.57
인창고등학교,서대문구,5.78
중앙여자고등학교,서대문구,4.93
한성고등학교,서대문구,5.12
강서공업고등학교,강서구,4.48
공항고등학교,강서구,4.27
등촌고등학교,강서구,4.61
세현고등학교,강서구,4.95
수명고등학교,강서구,4.84
경복비즈니스고등학교,강서구,5.21
경복여자고등학교,강서구,5.98
대일고등학교,강서구,2.19
덕원여자고등학교,강서구,2.35
덕원예술고등학교,강서구,5.99
동양고등학교,강서구,4.8
마포고등학교,강서구,2.55
명덕고등학교,강서구,5.83
명덕여자고등학교,강서구,2.53
명덕외국어고등학교,강서구,5.45
서울항공비즈니스고등학교,강서구,8.91
서울신정고등학교,강서구,8.64
영등포공업고등학교,강서구,4.24
영일고등학교,강서구,1.99
한광고등학교,강서구,7.73
한서고등학교,강서구,5.52
화곡고등학교,강서구,5.94
화곡보건경영고등학교,강서구,4.75
강일고등학교,강동구,4.64
둔촌고등학교,강동구,4.94
명일여자고등학교,강동구,4.31
선사고등학교,강동구,4.53
강동고등학교,강동구,5.4
광문고등학교,강동구,2.06
동북고등학교,강동구,1.72
배재고등학교,강동구,2.87
상일미디어고등학교,강동구,5.57
상일여자고등학교,강동구,4.17
서울컨벤션고등학교,강동구,5.64
성덕고등학교,강동구,5.86
한영고등학교,강동구,2.51
한영외국어고등학교,강동구,5.1
경기기계공업고등학교,노원구,1.04
노원고등학교,노원구,4.73
불암고등학교,노원구,1.65
상계고등학교,노원구,5.43
수락고등학교,노원구,4.79
월계고등학교,노원구,4.49
광운전자공업고등학교,노원구,4.59
대진고등학교,노원구,2.12
대진여자고등학교,노원구,1.77
서울동산고등학교,노원구,1.11
미래산업과학고등학교,노원구,4.55
상명고등학교,노원구,1.86
서라벌고등학교,노원구,2.59
서울아이티고등학교,노원구,4.77
염광고등학교,노원구,5.87
염광여자메디텍고등학교,노원구,4.52
영신간호비즈니스고등학교,노원구,4.62
영신여자고등학교,노원구,1.14
용화여자고등학교,노원구,1.36
인덕과학기술고등학교,노원구,4.58
재현고등학교,노원구,2.03
청원고등학교,노원구,2.33
청원여자고등학교,노원구,1.79
한국삼육고등학교,노원구,5.7
혜성여자고등학교,노원구,1.95
경기상업고등학교,종로구,7.64
경복고등학교,종로구,1.16
서울과학고등학교,종로구,4.01
서울국제고등학교,종로구,4.09
경신고등학교,종로구,5.29
대동세무고등학교,종로구,5.54
대신고등학교,종로구,5.35
덕성여자고등학교,종로구,5.51
동성고등학교,종로구,1.47
배화여자고등학교,종로구,5.2
상명대학교사범대학부속여자고등학교,종로구,4.35
서울예술고등학교,종로구,2.98
서일문화예술고등학교,종로구,8.09
중앙고등학교,종로구,2.44
경인고등학교,구로구,1.81
고척고등학교,구로구,5.82
구로고등학교,구로구,1.4
구일고등학교,구로구,5.74
구현고등학교,구로구,5.58
세종과학고등학교,구로구,4.03
신도림고등학교,구로구,5.53
덕일전자공업고등학교,구로구,9.0
서서울생활과학고등학교,구로구,1.52
서울공연예술고등학교,구로구,2.96
예림디자인고등학교,구로구,8.82
오류고등학교,구로구,4.21
우신고등학교,구로구,5.93
유한공업고등학교,구로구,4.71
경일고등학교,성동구,4.16
금호고등학교,성동구,4.28
덕수고등학교,성동구,1.02
도선고등학교,성동구,4.39
무학여자고등학교,성동구,4.76
