기간	자치구	초·중·고 학생수	사설학원수	학생1만명당 사설학원수
2020	합계	840,933	13,992	166.4
2020	종로구	16,452	243	147.7
2020	중구	13,566	109	80.3
2020	용산구	15,852	154	97.1
2020	성동구	20,447	289	141.3
2020	광진구	28,972	405	139.8
2020	동대문구	26,533	350	131.9
2020	중랑구	27,353	262	95.8
2020	성북구	37,884	439	115.9
2020	강북구	21,398	206	96.3
2020	도봉구	27,661	297	107.4
2020	노원구	61,078	718	117.6
2020	은평구	43,300	519	119.9
2020	서대문구	24,144	348	144.1
2020	마포구	27,821	689	247.7
2020	양천구	52,115	1,008	193.4
2020	강서구	51,758	694	134.1
2020	구로구	35,384	394	111.3
2020	금천구	16,497	212	128.5
2020	영등포구	25,331	445	175.7
2020	동작구	29,160	471	161.5
2020	관악구	30,710	431	140.3
2020	서초구	43,580	1,148	263.4
2020	강남구	59,344	2,361	397.8
2020	송파구	62,219	1,076	172.9
2020	강동구	42,374	724	170.9
