기간	자치구	초등학교	초등학교	초등학교	중학교	중학교	중학교	고등학교	고등학교	고등학교
기간	자치구	학생수	학업중단자수	학업중단율	학생수	학업중단자수	학업중단율	학생수	학업중단자수	학업중단율
2019	합계	422,293	5,154	1.22	207,413	2,414	1.16	236,689	4,318	1.82
2019	종로구	5,463	88	1.61	2,854	41	1.44	9,046	190	2.1
2019	중구	5,181	108	2.08	1,876	19	1.01	7,058	136	1.93
2019	용산구	7,273	175	2.41	3,583	81	2.26	5,996	139	2.32
2019	성동구	11,789	204	1.73	5,010	53	1.06	5,246	117	2.23
2019	광진구	14,977	190	1.27	7,347	73	0.99	7,641	119	1.56
2019	동대문구	13,684	122	0.89	6,476	52	0.8	7,349	145	1.97
2019	중랑구	15,176	58	0.38	6,857	36	0.53	6,563	87	1.33
2019	성북구	21,051	205	0.97	9,601	101	1.05	8,732	108	1.24
2019	강북구	10,392	59	0.57	6,200	49	0.79	5,542	76	1.37
2019	도봉구	15,561	68	0.44	6,753	44	0.65	6,954	123	1.77
2019	노원구	26,994	195	0.72	15,617	131	0.84	21,313	369	1.73
2019	은평구	21,613	136	0.63	10,352	72	0.7	13,212	247	1.87
2019	서대문구	12,993	190	1.46	6,140	49	0.8	5,429	100	1.84
2019	마포구	15,272	207	1.36	7,392	89	1.2	6,161	99	1.61
2019	양천구	24,414	290	1.19	15,723	157	1	13,025	213	1.64
2019	강서구	27,134	172	0.63	10,695	111	1.04	16,016	309	1.93
2019	구로구	18,674	113	0.61	7,892	58	0.73	9,634	206	2.14
2019	금천구	8,880	34	0.38	4,121	24	0.58	4,292	71	1.65
2019	영등포구	13,891	171	1.23	5,956	69	1.16	6,145	99	1.61
2019	동작구	16,257	174	1.07	7,754	65	0.84	6,165	92	1.49
2019	관악구	15,246	105	0.69	7,277	63	0.87	9,676	195	2.02
2019	서초구	23,064	680	2.95	11,244	307	2.73	10,363	214	2.07
2019	강남구	25,484	769	3.02	14,916	392	2.63	18,514	405	2.19
2019	송파구	32,208	480	1.49	16,430	207	1.26	15,361	263	1.71
2019	강동구	19,622	161	0.82	9,347	71	0.76	11,256	196	1.74
