기간	지역	초등학교	초등학교	초등학교	초등학교	중학교	중학교	중학교	중학교	고등학교	고등학교	고등학교	고등학교
기간	지역	전출	전출	전입	전입	전출	전출	전입	전입	전출	전출	전입	전입
기간	지역	도내	도외	도내	도외	도내	도외	도내	도외	도내	도외	도내	도외
2019	합계	13,136	9,475	13,208	7,093	2,662	2,648	2,707	2,480	3,840	1,296	3,878	1,492
2019	종로구	151	94	120	107	34	28	47	59	192	50	158	75
2019	중구	198	68	103	45	17	33	18	22	151	30	123	19
2019	용산구	241	190	161	173	44	70	49	75	121	42	66	40
2019	성동구	588	251	199	112	102	61	50	23	127	33	117	31
2019	광진구	441	302	374	134	129	73	97	65	62	28	112	36
2019	동대문구	536	250	366	169	101	99	80	73	138	68	160	64
2019	중랑구	432	470	241	150	105	89	80	51	103	34	105	24
2019	성북구	661	347	598	204	109	87	95	61	143	34	130	26
2019	강북구	233	185	190	131	80	59	62	32	101	19	94	24
2019	도봉구	435	339	268	155	84	99	76	44	147	40	159	36
2019	노원구	712	577	826	477	169	188	216	126	317	113	271	97
2019	은평구	630	545	575	226	124	162	89	134	160	62	139	90
2019	서대문구	366	249	362	183	46	68	76	66	109	29	117	49
2019	마포구	466	320	338	203	85	102	79	100	118	24	134	32
2019	양천구	573	455	1,015	548	170	189	181	172	196	54	254	51
2019	강서구	771	676	604	340	89	118	73	89	226	106	201	126
2019	구로구	657	595	576	312	96	111	53	94	125	66	155	92
2019	금천구	231	381	155	109	58	86	40	56	36	24	40	31
2019	영등포구	534	359	260	263	110	93	73	91	119	33	110	54
2019	동작구	624	262	401	181	98	82	77	80	148	32	118	32
2019	관악구	524	432	293	173	80	125	81	76	137	64	144	48
2019	서초구	633	421	750	363	119	101	126	123	215	57	203	80
2019	강남구	541	394	1,565	888	171	167	318	257	253	96	261	154
2019	송파구	1,236	816	1,706	822	315	257	322	292	273	94	279	107
2019	강동구	722	497	1,162	625	127	101	249	219	123	64	228	74
