학교명,자치구,score_2nd
국립국악고등학교,강남구,4.69
개포고등학교,강남구,4.45
경기고등학교,강남구,1.75
경기여자고등학교,강남구,1.61
서울로봇고등학교,강남구,4.04
압구정고등학교,강남구,4.48
청담고등학교,강남구,4.15
단국대학교부속소프트웨어고등학교,강남구,7.55
단국대학교사범대학부속고등학교,강남구,2.65
대진디자인고등학교,강남구,4.74
서울세종고등학교,강남구,4.87
수도전기공업고등학교,강남구,4.08
숙명여자고등학교,강남구,2.12
영동고등학교,강남구,1.42
은광여자고등학교,강남구,5.7
중동고등학교,강남구,2.82
중산고등학교,강남구,1.6
중앙대학교사범대학부속고등학교,강남구,2.02
진선여자고등학교,강남구,2.49
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
현대고등학교,강남구,2.81
휘문고등학교,강남구,2.91
국립전통예술고등학교,금천구,5.76
금천고등학교,금천구,4.84
독산고등학교,금천구,4.7
동일여자고등학교,금천구,4.47
동일여자상업고등학교,금천구,1.23
문일고등학교,금천구,1.88
서울대학교사범대학부설고등학교,성북구,5.31
경동고등학교,성북구,4.31
서울도시과학기술고등학교,성북구,4.05
석관고등학교,성북구,5.2
계성고등학교,성북구,1.96
고려대학교사범대학부속고등학교,성북구,5.8
고명외식고등학교,성북구,7.91
대일외국어고등학교,성북구,5.75
동구마케팅고등학교,성북구,5.24
성신여자고등학교,성북구,5.91
용문고등학교,성북구,2.25
한성여자고등학교,성북구,5.71
홍익대학교사범대학부속고등학교,성북구,4.12
가락고등학교,송파구,1.32
문정고등학교,송파구,5.79
문현고등학교,송파구,5.68
방산고등학교,송파구,1.3
서울체육고등학교,송파구,4.53
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
송파공업고등학교,송파구,4.13
오금고등학교,송파구,1.98
잠신고등학교,송파구,4.42
잠실고등학교,송파구,4.57
잠일고등학교,송파구,4.11
창덕여자고등학교,송파구,4.07
배명고등학교,송파구,1.89
보성고등학교,송파구,2.28
영동일고등학교,송파구,2.14
영파여자고등학교,송파구,5.62
일신여자상업고등학교,송파구,1.35
잠실여자고등학교,송파구,1.72
정신여자고등학교,송파구,2.4
가재울고등학교,서대문구,5.25
한성과학고등학교,서대문구,4.02
명지고등학교,서대문구,2.68
이화여자대학교사범대학부속이화금란고등학교,서대문구,2.6
인창고등학교,서대문구,5.77
중앙여자고등학교,서대문구,4.95
한성고등학교,서대문구,5.14
강서공업고등학교,강서구,4.49
공항고등학교,강서구,4.27
등촌고등학교,강서구,4.63
세현고등학교,강서구,4.97
수명고등학교,강서구,4.86
경복비즈니스고등학교,강서구,5.23
경복여자고등학교,강서구,5.98
대일고등학교,강서구,2.23
덕원여자고등학교,강서구,2.39
덕원예술고등학교,강서구,5.99
동양고등학교,강서구,4.81
마포고등학교,강서구,2.58
명덕고등학교,강서구,5.82
명덕여자고등학교,강서구,2.56
명덕외국어고등학교,강서구,5.46
서울항공비즈니스고등학교,강서구,7.87
서울신정고등학교,강서구,8.64
영등포공업고등학교,강서구,4.24
영일고등학교,강서구,2.04
한광고등학교,강서구,7.73
한서고등학교,강서구,5.52
화곡고등학교,강서구,5.93
화곡보건경영고등학교,강서구,4.77
강일고등학교,강동구,4.66
둔촌고등학교,강동구,4.96
명일여자고등학교,강동구,4.32
선사고등학교,강동구,4.55
강동고등학교,강동구,5.42
광문고등학교,강동구,2.11
동북고등학교,강동구,1.77
배재고등학교,강동구,2.88
상일미디어고등학교,강동구,1.49
상일여자고등학교,강동구,4.18
서울컨벤션고등학교,강동구,5.63
성덕고등학교,강동구,5.86
한영고등학교,강동구,2.54
한영외국어고등학교,강동구,5.12
경기기계공업고등학교,노원구,1.04
노원고등학교,노원구,4.75
불암고등학교,노원구,1.7
상계고등학교,노원구,1.39
수락고등학교,노원구,4.8
월계고등학교,노원구,4.51
광운전자공업고등학교,노원구,4.6
대진고등학교,노원구,2.16
대진여자고등학교,노원구,1.82
서울동산고등학교,노원구,1.12
미래산업과학고등학교,노원구,4.56
상명고등학교,노원구,1.91
서라벌고등학교,노원구,2.61
서울아이티고등학교,노원구,1.11
염광고등학교,노원구,5.87
염광여자메디텍고등학교,노원구,4.54
영신간호비즈니스고등학교,노원구,4.64
영신여자고등학교,노원구,1.16
용화여자고등학교,노원구,1.4
인덕과학기술고등학교,노원구,4.59
재현고등학교,노원구,2.07
청원고등학교,노원구,2.37
청원여자고등학교,노원구,1.84
한국삼육고등학교,노원구,5.69
혜성여자고등학교,노원구,2.0
경기상업고등학교,종로구,7.64
경복고등학교,종로구,1.18
서울과학고등학교,종로구,4.01
서울국제고등학교,종로구,4.09
경신고등학교,종로구,5.32
대동세무고등학교,종로구,5.54
대신고등학교,종로구,5.36
덕성여자고등학교,종로구,5.51
