,제목,내용
1,"학교전담경찰, 앞으로는 학교폭력 대응·예방에만 초점","학교전담경찰관(SPO)은 앞으로 경찰 본연의 업무인 학교폭력 등 범죄 대응과 예방활동에만 집중하고, 청소년들의 일반상담과 관리 등은 학교와 전문기관에 맡기기로 했다.  경찰청은 14일 이런 내용이 담긴 학교전담경찰 제도 개선 대책을 발표했다. 최근 부산에서 학교전담경찰관 2명이 여고생과 성관계를 하는 등 문제가 일어난 데 따른 후속 조처다. 경찰청 관계자는 “(경찰의) 학생 상담은 피해 사실을 확인하는 ‘면담’ 수준에 한해 진행하며, 그 이후의 역할은 교육 당국과 전문기관에 인계하는 등 역할을 재정립하기로 했다”고 설명했다.    경찰은 이를 위해 교육부와 각 지방 교육청과 정기적으로 회의를 열어 공동 매뉴얼과 세부 운영지침을 세우는 상설협의체를 운영하기로 했다. 또한 학교전담경찰 1인이 10여개 학교를 전담하는 기존 방식에서 1조로 구성된 2인이 20여개 학교를 맡도록 개편하는 한편, 여학생의 성 문제 등 민감 사안은 여성 경찰이 수행토록 했다.   이와 함께 학교전담경찰관이 학생을 면담할 경우, 사후 직속상관인 소속 계장에 승인을 받고 해당 학교 생활지도부장에게 통보하도록 하는 한편 면담 장소는 교내에서 하도록 원칙을 정했다. 이와 함께 학교전담경찰의 전문성을 높이기 위해 아동·청소년·교육·상담 분야 전공자의 채용을 확대할 계획이다. 학교전담경찰관의 직무 도덕성을 높이기 위해 상담윤리, 양성평등 및 폭력예방교육 등의 교육을 실시할 계획이라고 밝혔다. 허승 기자 raison@hani.co.kr"
2,학교전담 경찰관들이 담당 여고생과 성관계 파문,"부산의 학교전담 경찰관 2명이 관리하던 여고생과 성관계를 한 사실이 드러나 파문이 예상된다.　해당 경찰관들은 문제가 되자 슬그머니 사표를 냈고, 경찰은 이 같은 사실을 일부 확인하고도 징계 없이 수리한 뒤 쉬쉬했던 것으로 밝혀졌다.　22일 부산 A 경찰서에 따르면 지난 4일 이 경찰서 소속 학교전담 경찰관인 김모(33) 경장은 자신이 관리하던 모 고등학교 1학년 B(17)양과 방과 후 차 안에서 성관계를 했다.　22개월째 해당 업무를 맡아온 김 경장은 올해 3월 고등학교에 진학한 B양을 알게 됐다.　김 경장은 B양이 학교를 자주 빠지는 등 문제를 일으키자 여경 1명과 함께  B양과 여러 차례 상담했던 것으로 알려졌다.　두 사람의 부적절한 관계는 B양이 친구들에게 “경찰관과 잠자리를 했다”고 말하면서 소문이 나기 시작했다.　그러자 김 경장은 지난 10일 “부모의 사업을 물려받는다”면서 사표를 제출했다.　A 경찰서는 김 경장의 부적절한 처신을 파악하고도 문제로 삼지 않아 징계절차 없이 사표가 수리됐다.  　A 경찰서 관계자는 “해당 여고생이 만 14세 미만의 형사 미성년자가 아니라서  성관계를 했다는 것만으로는 처벌할 수 없다”고 말했다.　부산 B 경찰서에서도 지난달 비슷한 일이 발생했다.　B 경찰서 소속 학교전담 경찰관인 정모(31) 경장이 지난 9일 “경찰관이 적성에 맞지 않다”며 사표를 제출했고, 15일 수리됐다.　정 경장도 담당 여고생과 성관계를 했다가 문제가 불거지자 사표를 낸 것으로  경찰은 보고 있다.　정 경장은 13개월간 학교전담 경찰관으로 활동했다.　이 같은 사실은 전직 경찰관인 장신중씨가 24일 사회관계망서비스(SNS)에 일부 내용을 폭로하면서 알려졌다.　부산경찰청 관계자는 “경찰관들의 사표가 수리되기 전에는 해당 경찰서에서  부적절한 처신에 대한 보고가 없었다”면서 “만약 알았다면 사표 수리를 보류하고 징계절차에 들어갔을 것”이라고 밝혔다.　그는 또 “해당 경찰서에서 이 문제를 알고 있었는지 확인하겠다”고 말했다.　학교전담 경찰관은 각급 학교에 배치돼 학교폭력 예방을 위한 강연을 하고 비행청소년과 상담하면서 바른길로 안내하는 역할을 한다.　부산에는 이들 2명을 제외하고 49명이 활동하고 있다.　연합뉴스　 "
3,학교폭력전담경찰관 1명이 학생 5688명 담당,"학교전담경찰관 1명이 담당하는 학교와 학생의 수가 지나치게 많아 학교폭력 예방과 근절을 위한 실질적인 역할을 수행하는 게 어려운 상황이라는 국회 입법조사처의 보고서가 나왔다. 학교전담경찰관 1명이 담당하는 학생 수는 5688명에 달했다.  4일 국회입법조사처가 최근 발간한 ‘학교전담경찰관 제도의 현황과 개선과제’ 보고서를 보면, 올해 학교전담경찰관으로 배치된 인력은 1075명이었다. 전국의 초·중·고·특수학교 1만1693곳에 학생 611만4363명을 1075명이 담당하는 것이다. 학교전담경찰관 1명이 담당하는 학교는 평균 11곳, 학생 수는 5688명에 달했다.  여성 학교전담경찰관 비율은 32.4%에 그쳤다. 보고서는 “학교의 86.6% 정도가 남녀공학이고, 여학교의 비율도 6.6%로 여성 학교전담경찰관을 많이 배치해야 하는 실정이지만, 여성 학교전담경찰관 비율이 부족하다”고 지적했다. 지난 6월 부산에선 학교전담경찰관이 여고생과 성관계를 한 사실이 드러나 물의를 빚은 바 있다.  보고서는 제도 개선방안으로 학교전담경찰관을 중학교 단계에서만 운영하는 것을 제안했다. 보고서는 “학교전담경찰관이 중학교에만 배치되면 1인당 학교 3곳을 담당하고, 담당 학생 수도 1475명으로 감소해 내실있는 업무를 수행할 수 있다”고 밝혔다. 초등학교는 학생들의 발달 단계를 고려할 때 경찰보다는 교사가 사안을 처리하는 방안이 교육적일 수 있으며, 고등학교는 중학교에 견줘 학교폭력이 많이 줄어(2015년 기준 학교폭력 가해학생 중학교 1만6923명→고등학교 7678명) 학교전담경찰관의 필요성이 덜하다고 부연했다.  또 전국의 학교가 남녀공학이라는 점에서 여성 학교전담경찰관의 배치를 확대해 여학생과 관계된 학교폭력 사안을 담당하도록 하는 방안도 제시했다.  보고서는 장기적으로는 학교전담경찰관 제도 자체의 존폐 여부를 논의할 필요가 있다고 지적했다. 보고서는 “학교에서 발생한 학교폭력을 교사와 전문상담교사의 상담과 교육을 통하여 학교와 관련 기관에서 해결하지 못하고 경찰의 개입으로 사건을 해결하는 방식은 부적절하다는 의견이 있다”며 “학교전담경찰관 제도의 성과를 면밀히 분석하고, 학생·학부모·교직원 등 교육 관계자와 학교전담경찰관의 의견을 수렴해 제도의 지속 여부를 결정할 필요가 있다”고 밝혔다. 진명선 기자 torani@hani.co.kr"
4,"부산 학교전담경찰관 성추문 사건, 지휘부 ‘면죄부’ 논란"," 경찰청이 부산 학교전담경찰관(SPO)의 성추문 사건과 관련해 애초 징계 대상에 포함됐던 이상식 부산지방경찰청장 등 주요 간부 6명을 징계 대상에서 제외하기로 해 논란이 일고 있다.  경찰청은 9일 “자문기관인 시민감찰위원회의 권고안에 따라 17명의 징계 대상자 중 해당 사실을 인지하지 못 했던 지휘부 6명에 대해서는 정식 징계가 아닌 서면과 구두 경고를 하기로 했다”고 밝혔다. 경찰청 관계자는 “시민감찰위원회가 밑에서 보고를 하지 않아 지휘관이 문제를 알지 못 했던 데 대해 지휘 책임을 묻고 역량을 문제 삼을 수는 있겠지만, 사안 자체에 대한 책임을 물어 징계를 하는 것은 맞지 않다는 의견을 냈다”며 “경찰 내부에서도 이런 의견이 있어 시민감찰위원회의 권고에 따라 정식 징계 대신 강력한 경고 조처를 하기로 한 것”이라고 취지를 설명했다.  부산청 소속 학교전담경찰관 2명이 여고생과 부적절한 성관계를 맺은 사건이 발생한 뒤 경찰 간부들이 조직적으로 은폐했다는 의혹이 일자, 경찰청은 지난달 특별조사단을 꾸려 자체 감찰 조사에 나선 바 있다. 특조단은 지난달 12일 감찰 결과 발표하고, 이 부산청장을 포함해 17명에 대한 징계를 요구할 것이라며 엄벌 의사를 밝힌 바 있지만, 한달도 지나지 않아 시민감찰위원회의 권고안을 빌미로 면죄부를 줬다는 비판이 나온다. 시민감찰위원회는 자문기구에 불과한 데다 자체적인 조사권한도 없어 “이 부산청장 등은 보고를 제대로 받지 못해 해당 사실을 뒤늦게 알았으며, 적극적인 은폐 의사가 없었다”는 특조단의 감찰 결과를 그대로 인용할 수밖에 없는 상황이었다. 결국 ‘셀프 감찰’의 한계가 드러난 것이란 지적도 나온다.허승 기자 raison@hani.co.kr"
5,[사설] 수뇌부 보호로 끝난 ‘학교전담경찰관 사건’ 감찰,"학교전담경찰관의 여고생 성관계 사건에 대한 경찰청 특별조사단의 감찰 조사 결과는 예상대로 매우 실망스럽다. 이미 알려진 사실을 확인하는 데 그쳤을 뿐, 새롭게 밝혀낸 사실은 별반 없다. 은폐와 보고 누락은 일선 서장과 실무진이 저지른 일이고 경찰 수뇌부는 보고를 못 받아 책임이 없다고 버젓이 면죄부를 줬다. 그런 조사 결과도 납득할 수 없지만, 수뇌부가 보고를 받지 못한 게 사실이라면 더 큰 문제다. 조직의 기능을 그렇게 마비시킨 책임은 더 엄중하게 물어야 한다.  애초 이번 사건은 경찰관의 여고생 농락 못지않게 경찰의 조직적 은폐 의혹이 더 충격적이었다. 의혹은 강신명 경찰청장과 이상식 부산경찰청장이 이런 사실을 과연 몰랐느냐는 데 모였던 터다. 특조단은 일선 서장과 실무진이 보고를 하지 않아 수뇌부는 몰랐다고 밝혔다. 믿기 어려운 설명이다. 경찰관의 음주운전이나 시민의 단순 불만 등 사소한 일조차 수뇌부에 빠짐없이 보고하도록 돼 있는 게 경찰 조직의 속성이라고 한다. 청장 직속인 감찰 라인을 비롯해 부산경찰청과 경찰청 등 각급의 관련 부서 여럿이 이런 중대사안을 알고도 하나같이 장기간 보고조차 하지 않았다는 것은 도무지 있을 수 없는 일이겠다.  수뇌부가 몰랐다는 결론을 내기까지 특조단의 조사도 부실하기 짝이 없다. 특조단은 강 청장 등 수뇌부에 대해선 휴대전화 내역 조사조차 하지 않았다. 몰랐다는 말만 듣고 조사를 끝낸 듯하다. 그러고서 강 청장 등 경찰청 수뇌부는 징계 대상에서 제외했다. ‘꼬리 자르기’나 ‘셀프 면죄부’ 등의 비판이 나오는 것은 당연하다.  이번 사건은 경찰의 자체 감찰로 덮을 수 있는 일이 이미 아니다. 조직적 은폐가 어느 선까지 이뤄졌건 응분의 처벌은 물론 경찰 조직에 대한 대대적 수술이 불가피하다. 강 청장은 감사원 특별감사를 요청해서라도 진상과 책임 소재를 분명히 밝히겠다는 자세를 보여야 한다."
6,‘여고생 성관계’ 학교전담 경찰관 구속영장 신청," 학교전담경찰관(SPO)들이 여고생과 성관계한 사건을 수사한 경찰 특별조사단(특조단)은 부산 사하경찰서 김모(33) 경장의 사전 구속영장을 신청했다고 12일 밝혔다.김 경장은 지난 5월 29일 부산 해운대구 모처에 주차한 자신의 승용차 안에서 선도 대상 여고생인 A(17)양을 강제추행하고 6월 4일 부산 서구 산복도로에 주차한 승용차 안에서 A양과 위계에 의한 성관계를 맺은 혐의를 받고 있다.김 경장에게는 아동·청소년의 성 보호에 관한 법률 위반 혐의와 아동복지법 위반 혐의가 동시에 적용됐다.특조단은 강압성이나 대가성은 확인되지 않았지만, SPO인 김 경장이 상담해주는우월적 지위를 이용해 A양을 차 안으로 유도했고, 정신적으로 불안정한 A양의 심리상태를 악용해 성추행과 성관계했기 때문에 A양의 자유의사를 제압한 것으로 판단했다.경찰은 또 김 경장이 이와 관련한 의혹의 글이 사회관계망서비스(SNS)에 오른 지난달 24일 갑자기 전화번호를 바꾸고 가족과 함께 나흘간 잠적한 바 있어 도주와 증거인멸 우려가 있다고 봤다.김 경장이 A양과의 부적절한 관계가 들통나자 사표를 제출하기 전 A양 가족에게1천만원을 건넨 사실도 특조단 수사에서 밝혀졌다.그러나 피해와 관련한 A양 진술의 신빙성 등을 재확인하라는 검찰의 지휘에 따라 경찰은 보강수사를 벌이고 있다.경찰은 또 대검찰청 디지털포렌식센터에 의뢰해 김 경장이 삭제한 SNS 메시지를 복원하고 있다.  부산 연제경찰서 정모(31) 경장에 대해서는 아동·청소년의 성 보호에 관한 법률 위반 혐의로 불구속 입건했다.정 경장은 지난 3월 초부터 5월 초까지 여고생 B(17)양에게 사회관계망서비스(SNS)로 1만8천449차례 문자를 보내고 휴대전화 문자 메시지 및 전화통화 1천291차례로 호감을 표시하면서 수차례 성관계한 혐의를 받고 있다.경찰은 정 경장의 부적절한 처신에서도 강압성이나 대가성은 확인하지 못했지만, SPO라는 우월적인 지위에 있으면서 먼저 호감을 표시하며 옷을 사주는 등의 행위가 위계에 해당한다고 판단했다.그러나 B양과 가족이 수사에 협조하지 않아 진술을 확보하지 못하고 있다.경찰은 이에 따라 B양 주변 인물에 대해 탐문수사를 하는 등 보강 증거를 확보하는 데 주력하고 있다.연합뉴스   "
7,학교전담 경찰관의 ‘돌변’…상담 대상 여중생 2명 성추행,"학교전담 경찰관이 상담 대상인 여중생 자매를 수차례 성추행해오다 꼬리가 잡혔다.  전남지방경찰청은 5일 상담 과정에 알게 된 여중생들을 강제 추행한 혐의(아동 청소년의 성 보호에 관한 법률 위반)로 한 지역경찰서 여성청소년계 소속 ㄱ경위(45)의 구속영장을 신청했다. ㄱ경위는 지난 6월 말부터 최근까지 자신에게 상담을 받은 여중생 자매 2명의 신체 일부를 승용차 안 등 곳곳에서 접촉하는 등 수차례 강제 추행한 혐의를 받고 있다. ㄱ경위는 지난해 9월부터 위기 청소년을 돌보는 학교전담 경찰관으로 근무하며 조손가정 자매인 이들을 상담하고 휴대전화와 옷가지 등을 사주기도 했다.   ㄱ경위는 경찰 조사에서 “친근감을 표시하는 차원에서 신체 접촉을 했다”는 취지로 진술한 것으로 알려졌다. 경찰은 ㄱ경위가 “강제 추행을 반복해 왔다”는 청소년보호기관 상담사의 신고로 수사를 벌인 뒤 지난 3일 긴급체포했다. 경찰은 ㄱ경위를 즉각 직위 해제했고, 이른 시일 안에 징계위원회를 열기로 했다. 영장 발부 여부는 6일쯤 결정될 것으로 보인다.   전남경찰청 쪽은 “경찰관의 의무 위반 행위 중에서도 성비위 사건은 경중을 불문하고 엄중하게 문책하고 있다. 일벌백계를 위해 신속하게 영장을 신청하고 사건 내용을 공개했다”고 밝혔다. 안관옥 기자 okahn@hani.co.kr"
8,"[단독] 경찰, 학교폭력 가해·피해자 정보 DB화 추진 논란","경찰청의 ‘학교폭력 정보관리 시스템 구축 제안 요청서’.  경찰이 전국 1만1500여개 학교의 학교폭력 가해자·피해자 신상정보를 데이터베이스(DB)로 한데 모으는 사업을 추진하고 있다. 학교생활기록부(학생부)에 학교폭력 내용을 기재하는 것을 두고서도 교육현장에서 찬반이 갈리는 상황에서, 처벌 위주가 될 수밖에 없는 ‘학교 밖’ 경찰까지 ‘문제 학생’들의 신상정보를 수집하겠다는 것이다. 오는 9월 시스템 구축 완료를 목표로 하고 있지만, 정작 근거가 되는 법안은 국회 심사조차 시작되지 않았다. 15일 <한겨레>가 입수한 경찰청의 ‘학교폭력 정보관리 시스템 구축’ 제안요청서(사진)를 보면, 경찰은 1억2000만원을 들여 전국 초·중·고의 학교폭력 정보를 실시간 입력·관리·분석할 수 있는 소프트웨어 개발사업을 지난 5월 입찰공고했다. 이 시스템이 구축되면 일선 경찰서의 ‘학교전담경찰관’ 1138명이 가해·피해 학생의 실명 등 신상정보와 학교폭력 유형, 사건 개요, 조처 결과 등을 일일이 입력하게 된다. 경찰이 운영하는 학교폭력 신고 및 상담 전화 ‘117’로 접수된 내용은 이 시스템과 자동으로 연동돼 입력된다. 학교별 폭력서클 구성원 정보, 재학중인 소년범 수도 이 시스템에 쌓인다. 이를 바탕으로 학교별 학교폭력 위험도를 ‘파랑·노랑·빨강’ 3단계로 구분해 관리하게 된다. 경찰은 이 시스템에 접속해 실시간으로 내용을 들여다볼 수 있는 인원을 3000명 정도로 추산하고 있다. 경찰청은 “기존에 학교전담경찰관이 손으로 작성해 관리하던 정보를 전산으로 입력해 효율성과 후임자 인수인계 편의성을 높이고, 학교 위험도별 맞춤 대응이 이뤄질 것으로 기대한다”고 했다. 손으로 작성하던 것을 전산화했을 뿐 큰 차이는 없다는 것이다. 하지만 일선 교육현장에서는 교육기관도 아닌 경찰에서 학생들 개인정보를 한곳에 집적하는 것은 ‘잠재적 범죄자군’을 예상하고 이를 관리하려는 인권침해적 발상이라고 지적한다. 송재혁 전국교직원노동조합(전교조) 대변인은 “학생의 민감한 정보를 과도하게 집적하는데다, 가해학생을 잠재적 범죄자군으로 두고 향후 수사에 활용하려는 의도가 숨어 있는 것 아닌지 의구심이 든다”고 했다. 교육계에서는 이명박 정부에서 도입한 학교폭력 학생부 기재 문제를 놓고도 지금까지 소송 등 논란이 끊이지 않고 있다. 송 대변인은 “학교폭력 현황은 이미 교육부의 ‘학교알리미’ 시스템을 통해 관리되고 있다. 교육 목적을 위해 수집된 정보는 기본적으로 학교 밖으로 나가서는 안 된다”고 했다.이 시스템은 현재까지 법률적 근거가 없다. 경찰청 여성청소년과 관계자는 “학교전담경찰관 관련 법안이 통과될 것을 예상하고 미리 시스템을 구축하려는 것이다. 법이 통과되기 전까지는 시스템에 학생 신상정보를 입력하지 않을 계획”이라고 했다. 경찰은 2013년 11월 발의돼 지난해 4월 국회 안전행정위원회에 회부된 ‘학교전담경찰관의 운영 및 지원에 관한 법률’을 근거 법률로 들고 있다. 하지만 이 법안은 경찰청 예규로 운영되는 학교전담경찰관 업무를 법령으로 명확히 하려는 것일 뿐 데이터베이스 구축을 뒷받침할 근거는 담고 있지 않다. 게다가 이 법안은 안행위에 상정만 됐을 뿐 한 차례도 심사가 이뤄지지 않았다. 관련 상임위인 교육문화체육관광위에서도 논의가 이뤄진 적은 없다. 교육부도 경찰의 학생 신상정보 데이터베이스화를 몰랐다고 한다. 교육부 학교생활문화과 관계자는 “경찰이 학교전담경찰관 시스템을 구축한다는 사실은 알지만, 가해·피해학생 신상정보 입력 등 구체적인 내용에 대해선 협의가 없어 몰랐다. 인권침해가 발생하지 않도록 경찰청과 협의하겠다”고 했다. 박태우 기자 ehot@hani.co.kr "
9,"경찰, ‘조재범 성폭행 사건’ 전담 특별수사팀 구성","10일 오전 서울 중구 프레스센터에서 체육계 및 시민단체 회원들이 조재범 코치 성폭력 사건 의혹 관련 진상규명 및 체육계 성폭력 문제 재발방지 촉구 기자회견을 하고 있다. 박종식 기자 anaki@hani.co.kr조재범(38) 전 쇼트트랙 국가대표 코치의 성폭행 사건과 관련해 검찰과 경찰이 특별수사팀을 구성하는 등 본격 수사에 나섰다.  경기남부지방경찰청은 13일 조씨의 심석희(22) 선수에 대한 성폭행 고소 사건 조사를 위해 이 사건을 전담할 ‘여성대상범죄 특별수사팀’을 꾸렸다고 밝혔다. 특별수사팀에는 수사관, 디지털 포렌식 전문가, 법률지원 인력 등 총 17명이 참여한다.   특별수사팀은 조씨의 휴대전화와 태블릿피시 등은 물론 심 선수가 제출한 휴대전화에 담긴 대화 내용 등의 복원에 나섰다. 또 성폭행 장소로 추정되는 충북 진천선수촌 등의 현장 조사에 이어 오는 16일께 수원구치소에서 조씨에 대한 조사를 진행할 예정이다.  수원지검도 14일 예정된 조씨의 심 선수에 대한 폭행 혐의(상습상해 등) 항소심 선고를 연기해줄 것을 항소심 재판부에 요청했다. 재판부는 이에 따라 조씨에 대한 선고를 미루고 23일 재판을 속행하기로 했다.  검찰은 심 선수가 수차례의 성폭행 피해 사실을 새로 제기한 상태에서 조씨가 받는 상습 상해혐의와 연관성이 있을 수 있는 만큼 추가 조사가 필요하다는 입장이다. 또 추가 조사를 통해 성폭행 사실이 입증되면 검찰은 공소장 변경을 통하거나 별도의 추가 기소를 통해 조씨를 처벌하겠다는 뜻으로 풀이된다.  조씨는 2011년부터 지난해 1월까지 심 선수를 비롯한 쇼트트랙 선수 4명을 상습폭행해 상해를 입힌 혐의로 기소돼 지난해 8월 1심에서 징역 10월의 실형을 선고받고 법정 구속됐다.  한편 심 선수를 제외한 폭행 피해 선수 3명 중 2명은 조씨와의 합의를 번복하고 지난 9일 항소심 재판부에 합의 취하서를 냈다. 최근 심 선수가 조 씨로부터 성폭행 피해를 봤다고 고소한 사실이 알려지자 마음을 바꾼 것으로 전해졌다.  심 선수는 고등학교 2학년이던 2014년부터 2018 평창동계올림픽 개막 2달여 전까지 조씨한테서 수차례 성폭행 등을 당했다는 고소장을 지난달 12월17일 경찰에 냈고 조씨 쪽은 혐의를 부인하는 상태다. 홍용덕 기자 ydhong@hani.co.kr"
10,학폭피해 학생 벼랑끝으로 내몬 학교와 담당경찰,"사진은 관련 사건과 무관함. 한겨레 자료사진  울산의 한 중학교 1학년생이 스스로 목숨을 끊은 사건과 관련해 학교폭력 관리에 대한 학교 쪽과 담당경찰관의 총체적인 허점이 경찰 수사 결과 드러났다.  울산지방경찰청은 28일 학교폭력예방 및 대책에 관한 법률 위반과 뇌물공여 의사표시, 아동복지법 위반 등 혐의로 울산 ㄷ중 교장과 교사 2명 등 3명을 불구속 기소의견으로 검찰에 송치했다고 밝혔다. 경찰은 또 유족의 유서 조작을 묵인하거나 학교폭력 실태를 제대로 확인하지 못한 경찰청 파견경찰관과 학교전담경찰관 등 경찰관 2명의 징계를 소속 경찰서에 요청했다.  울산 ㄷ중에선 지난 6월15일 같은 반 학생들에게서 집단 괴롭힘을 받던 1학년생(13)이 방과 후 학교에서 뛰어내려 숨진 사건이 일어났다. 경찰은 지난 12일 피해학생을 일삼아 괴롭히거나 폭행한 혐의로 같은 반 학생 9명을 울산지방법원 소년부로 송치했다.   이 학교 교장은 지난 7월 취재기자와 가해학생 부모 및 학교폭력 관련 단체 회원 등에게 학교폭력 업무자료 또는 피해학생의 민감한 개인정보 등을 누설한 혐의를 받고 있다. 또 사건 조사를 위해 경찰청에서 파견된 경찰관에게 “경사님 선에서 끝나게 해주십시오. 이거면 되겠습니까”라고 하며 오른손가락 두 개를 펼쳐 보여 뇌물공여 의사표시를 한 혐의도 샀다.  다른 교사 2명은 학생들을 상대로 학교폭력 사실을 조사하면서 가해학생들의 폭행과 교사의 학대 등 학교 쪽에 불리한 내용이 담긴 진술서를 훼손하거나 피해학생이 교과서의 수업진도와 다른 쪽을 폈다는 이유로 화를 내며 수업시간마다 교실 뒤로 나가서 수업을 받게 하는 등 정서·신체적으로 학대한 혐의를 각각 받고 있다.   징계 요청된 경찰청 파견경찰관은 사건 조사 과정에서 피해학생 아버지가 주장하는 유서(쪽지)가 조작됐다는 사실을 알고도 묵인하고, 파견기간이 끝난 뒤 작성한 결과 보고서를 피해학생 아버지에게 제공하는 등 비밀엄수 의무와 공정 의무 등을 위반한 사실이 드러났다. 학교전담경찰관은 학교폭력 신고를 접수한 뒤 피해학생 아버지와 3차례 통화하며 치료와 지원 위주로만 안내하고, 피해학생을 대상으로 학교폭력 상담을 하지 않는 등 성실 의무를 위반한 것으로 조사됐다.  신동명 기자 tms13@hani.co.kr"
