,p_1,p_2
0,"[380.343, 134.948, 358.107, 162.386, 355.5, 163.694, 360.712, 204.164, 377.694, 240.676, 359.447, 162.309, 368.56, 201.498, 0, 0, 358.134, 243.267, 365.943, 291.543, 356.792, 350.275, 360.768, 241.958, 365.971, 290.246, 355.513, 345.064, 377.689, 130.994, 0, 0, 362.082, 132.377, 0, 0]","[495.219, 138.845, 517.383, 163.653, 514.745, 162.356, 506.933, 208.031, 0, 0, 522.562, 164.964, 517.413, 209.332, 505.613, 245.832, 510.816, 239.327, 506.945, 294.148, 536.982, 329.403, 514.713, 241.965, 504.274, 295.488, 504.316, 348.985, 0, 0, 497.787, 131.083, 0, 0, 513.419, 132.368]"
1,"[380.305, 137.513, 358.076, 162.39, 352.898, 163.681, 359.479, 204.163, 376.386, 241.98, 359.467, 162.319, 369.791, 202.813, 0, 0, 356.828, 243.275, 367.22, 290.25, 349.008, 350.254, 360.765, 241.964, 367.249, 288.982, 355.528, 342.449, 376.375, 131.035, 0, 0, 362.01, 134.915, 0, 0]","[487.311, 137.525, 509.543, 162.376, 505.647, 162.326, 497.748, 204.097, 483.442, 226.31, 516.009, 162.402, 506.97, 205.45, 495.095, 244.542, 500.364, 238.057, 489.943, 287.689, 518.67, 328.047, 508.232, 240.663, 503.008, 290.246, 504.308, 347.698, 0, 0, 492.532, 131.009, 0, 0, 505.597, 132.304]"
2,"[380.285, 134.96, 356.785, 162.383, 351.604, 163.665, 359.478, 205.389, 375.094, 243.217, 359.44, 162.32, 368.563, 202.801, 0, 0, 356.828, 243.28, 364.644, 290.269, 348.951, 350.285, 360.761, 241.975, 365.961, 290.234, 358.116, 339.861, 373.814, 131.002, 0, 0, 360.738, 134.912, 0, 0]","[484.767, 136.251, 506.958, 162.33, 505.55, 162.328, 496.442, 202.789, 478.2, 215.857, 512.142, 162.358, 506.859, 204.135, 487.357, 241.957, 496.484, 239.35, 483.385, 287.613, 514.739, 328.045, 505.65, 241.944, 502.958, 291.581, 505.552, 346.373, 0, 0, 487.349, 130.993, 0, 0, 501.692, 132.317]"
3,"[380.254, 134.954, 354.209, 162.368, 350.323, 163.629, 359.436, 205.389, 373.815, 241.928, 359.417, 162.311, 367.25, 202.808, 0, 0, 354.202, 243.242, 363.33, 290.27, 345.076, 349.027, 360.758, 241.941, 367.255, 290.25, 358.096, 338.567, 373.765, 130.983, 0, 0, 359.463, 133.652, 0, 0]","[482.122, 134.921, 505.651, 162.403, 502.978, 162.359, 491.266, 204.102, 474.299, 214.528, 508.19, 164.933, 497.808, 208.024, 483.398, 241.956, 495.153, 243.226, 475.575, 286.343, 496.473, 330.695, 505.554, 244.522, 501.667, 296.768, 505.532, 347.669, 0, 0, 484.767, 129.746, 0, 0, 497.761, 132.299]"
4,"[376.403, 138.798, 351.592, 162.372, 350.262, 163.647, 359.395, 205.432, 373.794, 241.959, 356.82, 162.31, 363.358, 202.796, 373.808, 238.06, 351.584, 243.212, 362.035, 290.286, 339.792, 348.985, 359.447, 240.64, 364.638, 290.272, 358.068, 338.487, 371.196, 131.067, 0, 0, 358.128, 134.94, 0, 0]","[474.302, 137.56, 497.76, 163.622, 495.174, 162.364, 484.768, 202.756, 462.544, 209.314, 502.955, 164.954, 491.247, 210.61, 472.951, 236.784, 484.762, 243.236, 463.851, 286.267, 475.602, 330.732, 497.799, 244.556, 497.791, 296.802, 504.305, 347.646, 0, 0, 476.863, 131.025, 0, 0, 491.229, 132.334]"
5,"[376.38, 136.239, 350.343, 162.395, 349.02, 163.682, 359.357, 205.457, 372.527, 243.24, 356.794, 162.328, 363.347, 202.802, 372.508, 241.971, 350.312, 244.506, 360.74, 292.843, 338.518, 349.012, 359.422, 241.963, 363.348, 291.568, 356.823, 338.477, 371.16, 131.021, 0, 0, 358.087, 136.219, 0, 0]","[472.94, 134.919, 495.209, 163.65, 492.565, 162.357, 480.789, 202.814, 454.7, 205.465, 497.763, 166.266, 486.009, 213.21, 465.119, 238.034, 478.228, 244.509, 457.33, 286.346, 463.813, 335.904, 496.436, 245.845, 496.503, 296.807, 504.3, 347.645, 0, 0, 474.319, 129.748, 0, 0, 486.056, 132.297]"
6,"[372.471, 136.232, 350.253, 163.651, 347.693, 164.962, 356.802, 206.749, 372.454, 243.272, 352.924, 162.357, 363.351, 204.11, 371.24, 243.244, 350.265, 244.543, 359.404, 292.861, 335.945, 348.979, 359.374, 243.242, 362.03, 291.577, 356.798, 335.938, 369.839, 131.022, 0, 0, 354.212, 134.95, 0, 0]","[463.861, 138.869, 486.094, 164.95, 482.126, 163.661, 472.976, 198.872, 444.272, 200.167, 495.111, 167.571, 480.791, 211.93, 457.311, 236.772, 472.964, 244.515, 452.04, 288.921, 439.06, 335.915, 489.951, 245.919, 496.437, 298.131, 504.279, 348.914, 0, 0, 465.206, 131.079, 0, 0, 480.788, 133.607]"
7,"[371.23, 136.241, 349.027, 163.686, 347.648, 166.261, 354.201, 208.009, 371.153, 243.219, 352.908, 162.389, 364.621, 204.143, 371.177, 240.629, 350.281, 244.582, 358.112, 294.169, 335.942, 348.996, 359.364, 243.264, 360.772, 292.858, 355.525, 335.94, 369.812, 131.021, 0, 0, 352.922, 134.933, 0, 0]","[458.611, 140.157, 484.687, 166.244, 476.882, 163.683, 465.146, 196.261, 436.424, 194.972, 488.654, 168.852, 475.559, 214.52, 453.447, 238.038, 466.495, 244.522, 446.849, 288.947, 432.464, 335.904, 487.316, 245.889, 495.193, 298.111, 504.266, 348.914, 0, 0, 462.538, 132.344, 0, 0, 475.581, 133.615]"
8,"[371.208, 137.51, 348.994, 163.69, 346.361, 166.282, 351.645, 208.015, 371.121, 243.264, 351.633, 162.394, 363.333, 204.117, 371.128, 241.939, 350.26, 244.597, 358.068, 294.171, 337.191, 348.999, 358.099, 243.274, 360.735, 292.844, 356.783, 335.941, 369.795, 131.036, 0, 0, 352.922, 136.217, 0, 0]","[454.771, 140.106, 478.189, 163.694, 471.669, 163.629, 457.33, 193.735, 428.592, 192.391, 486.044, 166.261, 474.293, 213.224, 453.412, 236.766, 465.169, 244.501, 444.236, 287.707, 424.715, 337.21, 486.047, 245.88, 495.1, 298.1, 502.962, 347.685, 0, 0, 458.611, 132.343, 0, 0, 472.976, 134.923]"
9,"[371.147, 136.261, 348.956, 164.967, 342.449, 167.547, 350.237, 208.047, 367.261, 244.564, 351.639, 163.667, 360.696, 204.152, 371.173, 234.104, 349.019, 245.902, 355.497, 295.48, 334.648, 350.276, 358.104, 244.55, 360.726, 294.143, 354.216, 335.939, 367.272, 131.043, 0, 0, 350.362, 137.524, 0, 0]","[445.614, 140.161, 466.464, 167.577, 454.739, 168.857, 444.225, 195.023, 418.166, 189.752, 478.186, 167.56, 470.357, 213.243, 450.756, 239.332, 454.675, 244.516, 435.167, 292.855, 423.386, 339.808, 475.641, 245.837, 485.977, 296.817, 501.683, 347.672, 0, 0, 450.774, 133.642, 0, 0, 463.801, 136.257]"
10,"[369.91, 137.566, 348.924, 164.957, 339.914, 166.271, 348.981, 208.027, 363.347, 245.911, 351.64, 163.662, 360.749, 204.113, 371.192, 232.795, 348.982, 245.886, 355.486, 295.469, 334.613, 350.306, 358.096, 244.52, 360.683, 294.141, 354.2, 337.201, 365.957, 131.077, 0, 0, 350.314, 137.55, 0, 0]","[442.976, 141.423, 463.768, 168.838, 448.2, 164.951, 433.844, 192.389, 409.042, 184.528, 475.554, 171.403, 467.746, 213.293, 448.2, 240.658, 452.057, 243.26, 432.547, 292.863, 422.117, 339.809, 474.312, 245.841, 483.383, 296.778, 499.081, 345.086, 444.24, 140.151, 444.315, 136.252, 0, 0, 457.345, 137.565]"
11,"[369.875, 140.079, 347.633, 164.973, 339.871, 166.279, 347.699, 210.608, 362.08, 247.188, 350.326, 163.696, 359.441, 205.43, 371.157, 228.924, 348.953, 245.896, 354.196, 295.472, 333.326, 351.626, 356.818, 244.527, 359.451, 292.876, 355.489, 337.192, 364.665, 132.336, 0, 0, 350.243, 137.535, 0, 0]","[436.424, 140.172, 456, 170.135, 442.936, 168.862, 422.065, 191.043, 392.098, 181.911, 474.209, 171.43, 466.422, 213.24, 449.469, 241.978, 444.307, 241.937, 431.153, 290.267, 422.035, 339.821, 472.933, 244.567, 479.48, 296.755, 497.77, 342.468, 0, 0, 441.621, 134.931, 0, 0, 454.652, 137.514]"
12,"[427.301, 140.114, 445.585, 168.843, 428.622, 168.871, 402.445, 187.129, 377.713, 177.996, 465.163, 168.836, 465.177, 208.039, 454.682, 238.062, 439.027, 238.055, 423.424, 292.841, 422.052, 339.802, 465.153, 239.358, 474.258, 294.171, 493.881, 339.864, 0, 0, 432.481, 132.342, 0, 0, 445.555, 133.627]","[368.517, 140.188, 345.077, 167.553, 338.503, 167.572, 341.184, 211.923, 359.437, 247.168, 352.877, 166.284, 359.426, 205.445, 371.168, 230.219, 342.483, 245.89, 351.628, 296.75, 332.011, 355.488, 355.506, 244.517, 359.399, 295.456, 355.497, 337.24, 362.049, 136.214, 367.22, 134.945, 348.962, 138.798, 0, 0]"
13,"[423.37, 140.122, 442.943, 166.235, 422.088, 168.851, 395.951, 184.568, 371.171, 175.398, 463.83, 163.685, 466.47, 205.406, 456.058, 238.053, 433.766, 240.671, 423.326, 291.561, 422.022, 339.807, 463.763, 240.642, 471.685, 292.835, 488.632, 339.811, 423.332, 137.549, 427.298, 132.336, 0, 0, 444.232, 132.315]","[367.241, 140.202, 343.76, 167.565, 337.205, 168.872, 339.856, 213.173, 358.091, 248.497, 351.63, 166.252, 359.437, 205.416, 372.5, 230.215, 341.178, 248.493, 351.565, 298.078, 330.733, 358.083, 356.808, 245.859, 359.353, 296.782, 355.49, 338.472, 360.799, 136.248, 0, 0, 348.962, 138.868, 0, 0]"
14,"[422.051, 140.094, 440.362, 164.934, 418.157, 167.571, 392.041, 184.553, 371.164, 176.689, 462.529, 163.625, 466.454, 205.446, 458.622, 236.778, 431.215, 241.93, 422.102, 291.558, 422.015, 338.595, 458.621, 238.048, 469.036, 291.572, 484.752, 339.83, 422.033, 136.253, 423.441, 132.31, 0, 0, 442.885, 131.089]","[367.242, 141.416, 342.477, 168.874, 334.645, 170.186, 338.571, 213.205, 355.53, 251.11, 351.629, 166.286, 359.425, 204.131, 373.77, 227.618, 339.899, 248.476, 350.353, 298.112, 330.701, 359.371, 354.199, 245.859, 358.075, 296.8, 355.492, 338.491, 360.772, 137.549, 0, 0, 347.699, 140.15, 0, 0]"
15,"[419.436, 140.11, 433.839, 163.65, 411.678, 164.983, 390.691, 184.575, 369.876, 181.89, 457.319, 162.375, 470.356, 204.088, 465.15, 235.451, 423.392, 243.242, 420.793, 291.56, 422.001, 338.586, 453.435, 243.216, 465.158, 291.56, 475.633, 338.577, 415.544, 134.92, 423.331, 132.337, 0, 0, 440.322, 131.091]","[363.327, 141.525, 339.899, 171.415, 330.757, 171.474, 337.199, 213.298, 350.261, 253.658, 350.292, 170.138, 359.465, 206.708, 379.017, 228.917, 339.829, 248.499, 350.252, 299.374, 329.386, 359.435, 354.206, 245.877, 356.802, 298.048, 352.908, 338.561, 359.464, 140.086, 363.337, 137.549, 342.471, 140.145, 0, 0]"
16,"[415.577, 140.134, 432.539, 163.646, 410.29, 166.248, 388.11, 188.43, 368.546, 181.903, 455.996, 162.38, 470.384, 204.062, 469.046, 235.404, 422.083, 243.23, 420.727, 290.274, 420.783, 338.573, 453.388, 240.671, 463.884, 290.231, 474.228, 338.545, 413.005, 134.911, 422.087, 132.37, 0, 0, 436.441, 132.325]","[360.781, 142.792, 339.883, 171.435, 329.44, 172.756, 332.011, 214.587, 348.924, 253.706, 351.579, 168.843, 360.696, 204.149, 380.255, 230.202, 339.807, 249.774, 349.021, 298.138, 348.996, 339.845, 355.523, 245.887, 355.505, 296.818, 352.887, 338.524, 358.133, 140.15, 360.792, 140.094, 339.895, 140.207, 0, 0]"
17,"[360.719, 144.064, 339.801, 171.446, 328.121, 172.821, 329.371, 217.165, 346.359, 255.026, 350.319, 166.283, 360.691, 204.149, 380.309, 231.502, 338.559, 251.095, 347.694, 299.405, 348.93, 339.891, 355.483, 247.178, 355.484, 298.068, 351.584, 338.57, 356.835, 140.209, 360.715, 140.1, 339.846, 141.432, 0, 0]","[414.264, 140.09, 432.464, 163.631, 406.401, 164.96, 388.134, 189.776, 369.851, 184.529, 454.718, 162.386, 469.065, 202.803, 471.674, 234.158, 420.765, 241.96, 419.444, 290.26, 420.775, 338.57, 452.075, 238.072, 462.54, 287.701, 471.649, 337.251, 412.949, 133.617, 422.032, 132.322, 0, 0, 435.158, 132.304]"
18,"[414.288, 138.825, 428.573, 162.414, 402.536, 164.966, 386.814, 192.326, 369.905, 189.714, 453.37, 162.328, 467.758, 198.892, 474.321, 232.816, 415.529, 241.927, 416.845, 290.278, 420.754, 338.56, 446.899, 235.491, 457.296, 287.656, 466.426, 338.473, 412.913, 132.335, 422.042, 131.041, 0, 0, 433.827, 131.061]","[358.116, 149.242, 338.52, 172.759, 322.876, 175.382, 322.889, 219.791, 337.233, 257.606, 351.63, 170.156, 360.727, 206.746, 380.36, 232.773, 337.209, 253.685, 342.482, 303.316, 328.133, 362.047, 352.907, 248.472, 354.182, 298.108, 350.298, 338.549, 351.592, 141.526, 359.368, 141.405, 337.198, 141.498, 0, 0]"
19,"[416.878, 138.856, 426.005, 162.418, 402.492, 164.966, 382.955, 192.383, 369.876, 189.735, 453.336, 162.33, 466.482, 198.889, 474.327, 232.774, 414.218, 240.653, 415.527, 291.544, 420.76, 338.595, 445.573, 235.48, 454.769, 287.654, 465.156, 337.243, 412.947, 132.359, 422.107, 131.058, 412.897, 138.866, 433.832, 131.072]","[352.902, 150.531, 337.207, 172.778, 319.013, 178.008, 319.017, 222.397, 332.047, 261.556, 350.334, 168.844, 360.707, 208, 380.334, 232.811, 335.893, 254.973, 341.167, 305.913, 328.095, 362.072, 352.898, 249.791, 354.188, 299.371, 350.305, 338.539, 348.994, 142.768, 358.087, 141.521, 330.728, 141.435, 0, 0]"
20,"[420.78, 140.112, 424.661, 163.679, 401.203, 166.256, 381.587, 192.385, 369.879, 191.017, 452.077, 162.4, 465.186, 198.905, 474.294, 232.767, 412.886, 240.669, 413.005, 292.848, 420.756, 339.789, 444.237, 236.72, 454.684, 288.93, 463.83, 338.519, 414.234, 133.621, 423.408, 132.328, 411.613, 137.547, 433.848, 132.339]","[346.381, 150.648, 333.319, 177.993, 316.362, 183.183, 317.596, 226.314, 326.772, 266.776, 350.326, 171.484, 360.765, 210.639, 381.568, 234.158, 333.321, 258.947, 338.559, 308.571, 328.038, 367.267, 352.898, 255.037, 351.57, 304.603, 350.26, 339.844, 339.819, 145.387, 348.998, 146.657, 326.779, 144.061, 0, 0]"
21,"[347.625, 151.913, 330.762, 180.602, 313.756, 184.576, 315.017, 232.843, 321.556, 273.256, 350.305, 171.507, 360.704, 210.627, 380.314, 234.094, 329.458, 264.132, 337.219, 309.844, 326.804, 368.573, 352.898, 256.347, 350.339, 305.865, 350.27, 338.585, 338.592, 149.244, 348.99, 147.978, 322.867, 147.982, 0, 0]","[422.069, 140.145, 423.437, 163.697, 401.178, 166.276, 380.266, 192.357, 368.534, 188.462, 452.046, 162.399, 465.126, 200.169, 474.271, 232.802, 411.659, 241.942, 412.978, 292.863, 420.76, 338.596, 443, 236.74, 454.648, 288.924, 463.778, 338.543, 415.544, 134.911, 424.694, 132.37, 411.619, 137.543, 433.857, 132.36]"
